 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.504  -0.246   0.828   1.000    34071.45    14376.80   -39378.25    54020.39
  -0.511  -0.248   0.835   1.010    33259.17    14083.85   -38274.74    52625.88
  -0.517  -0.251   0.842   1.020    32470.16    13796.47   -37205.83    51273.07
  -0.523  -0.254   0.850   1.030    31703.73    13514.81   -36170.55    49960.83
  -0.530  -0.256   0.857   1.039    30959.21    13238.94   -35167.93    48688.05
  -0.536  -0.259   0.864   1.049    30236.02    12968.86   -34197.00    47453.59
  -0.542  -0.262   0.871   1.059    29533.46    12704.63   -33256.81    46256.34
  -0.549  -0.265   0.878   1.069    28850.91    12446.24   -32346.41    45095.17
  -0.555  -0.267   0.886   1.079    28187.78    12193.64   -31464.85    43969.00
  -0.562  -0.270   0.893   1.089    27543.48    11946.79   -30611.21    42876.74
  -0.568  -0.273   0.900   1.099    26917.43    11705.62   -29784.58    41817.35
  -0.575  -0.276   0.907   1.108    26309.08    11470.05   -28984.07    40789.78
  -0.581  -0.279   0.914   1.118    25717.88    11240.00   -28208.83    39793.03
  -0.587  -0.281   0.921   1.128    25143.30    11015.38   -27458.00    38826.09
  -0.594  -0.284   0.928   1.138    24584.81    10796.09   -26730.76    37888.02
  -0.600  -0.287   0.935   1.148    24041.92    10582.02   -26026.33    36977.87
  -0.607  -0.290   0.942   1.158    23514.14    10373.09   -25343.92    36094.74
  -0.613  -0.293   0.949   1.168    23000.99    10169.16   -24682.79    35237.73
  -0.620  -0.296   0.956   1.177    22502.02     9970.15   -24042.20    34405.99
  -0.627  -0.299   0.963   1.187    22016.77     9775.93   -23421.46    33598.69
  -0.633  -0.302   0.970   1.197    21544.82     9586.40   -22819.88    32815.02
  -0.640  -0.304   0.977   1.207    21085.74     9401.44   -22236.82    32054.20
  -0.646  -0.307   0.984   1.217    20639.13     9220.95   -21671.62    31315.47
  -0.653  -0.310   0.991   1.227    20204.61     9044.81   -21123.68    30598.12
  -0.659  -0.313   0.998   1.237    19781.78     8872.92   -20592.41    29901.42
  -0.666  -0.316   1.005   1.246    19370.49     8704.98   -20077.15    29224.73
  -0.673  -0.319   1.012   1.256    18970.18     8541.06   -19577.44    28567.35
  -0.679  -0.322   1.019   1.266    18580.51     8381.07   -19092.74    27928.66
  -0.686  -0.325   1.025   1.276    18201.12     8224.92   -18622.54    27308.04
  -0.693  -0.328   1.032   1.286    17831.71     8072.50   -18166.34    26704.89
  -0.699  -0.331   1.039   1.296    17471.97     7923.71   -17723.67    26118.64
  -0.706  -0.334   1.046   1.305    17121.58     7778.46   -17294.08    25548.74
  -0.713  -0.337   1.053   1.315    16780.28     7636.66   -16877.10    24994.66
  -0.719  -0.340   1.059   1.325    16447.77     7498.20   -16472.33    24455.88
  -0.726  -0.344   1.066   1.335    16123.80     7363.00   -16079.35    23931.90
  -0.733  -0.347   1.073   1.345    15808.08     7230.98   -15697.75    23422.25
  -0.740  -0.350   1.079   1.354    15500.38     7102.04   -15327.17    22926.47
  -0.746  -0.353   1.086   1.364    15200.46     6976.11   -14967.23    22444.11
  -0.753  -0.356   1.093   1.374    14908.07     6853.10   -14617.58    21974.74
  -0.760  -0.359   1.099   1.384    14622.99     6732.93   -14277.87    21517.94
  -0.767  -0.362   1.106   1.394    14345.00     6615.53   -13947.78    21073.32
  -0.774  -0.365   1.113   1.404    14073.88     6500.82   -13626.99    20640.49
  -0.780  -0.368   1.119   1.413    13809.44     6388.73   -13315.20    20219.08
  -0.787  -0.372   1.126   1.423    13551.48     6279.19   -13012.11    19808.73
  -0.794  -0.375   1.132   1.433    13299.80     6172.13   -12717.44    19409.10
  -0.801  -0.378   1.139   1.443    13054.21     6067.49   -12430.91    19019.84
  -0.808  -0.381   1.145   1.453    12814.55     5965.19   -12152.26    18640.64
  -0.815  -0.384   1.152   1.462    12580.63     5865.17   -11881.24    18271.19
  -0.822  -0.388   1.158   1.472    12352.30     5767.38   -11617.60    17911.19
  -0.829  -0.391   1.165   1.482    12129.38     5671.76   -11361.11    17560.34
  -0.835  -0.394   1.171   1.492    11911.73     5578.24   -11111.54    17218.37
  -0.842  -0.397   1.178   1.502    11699.19     5486.77   -10868.67    16885.01
  -0.849  -0.401   1.184   1.511    11491.61     5397.31   -10632.28    16560.00
  -0.856  -0.404   1.191   1.521    11288.86     5309.78   -10402.18    16243.08
  -0.863  -0.407   1.197   1.531    11090.80     5224.15   -10178.17    15934.01
  -0.870  -0.410   1.203   1.541    10897.30     5140.36    -9960.06    15632.57
  -0.877  -0.414   1.210   1.551    10708.22     5058.36    -9747.67    15338.51
  -0.884  -0.417   1.216   1.560    10523.45     4978.11    -9540.81    15051.63
  -0.891  -0.420   1.222   1.570    10342.86     4899.57    -9339.32    14771.71
  -0.898  -0.424   1.229   1.580    10166.34     4822.68    -9143.04    14498.55
  -0.905  -0.427   1.235   1.590     9993.79     4747.41    -8951.80    14231.95
  -0.912  -0.430   1.241   1.599     9825.07     4673.72    -8765.45    13971.72
  -0.919  -0.434   1.248   1.609     9660.11     4601.55    -8583.85    13717.67
  -0.926  -0.437   1.254   1.619     9498.78     4530.88    -8406.85    13469.63
  -0.933  -0.440   1.260   1.629     9341.00     4461.67    -8234.31    13227.43
  -0.940  -0.444   1.266   1.639     9186.67     4393.88    -8066.11    12990.89
  -0.948  -0.447   1.273   1.648     9035.70     4327.47    -7902.10    12759.86
  -0.955  -0.451   1.279   1.658     8887.99     4262.41    -7742.18    12534.19
  -0.962  -0.454   1.285   1.668     8743.46     4198.67    -7586.21    12313.71
  -0.969  -0.457   1.291   1.678     8602.03     4136.20    -7434.09    12098.29
  -0.976  -0.461   1.297   1.687     8463.61     4074.99    -7285.69    11887.79
  -0.983  -0.464   1.303   1.697     8328.13     4015.00    -7140.91    11682.06
  -0.990  -0.468   1.309   1.707     8195.50     3956.19    -6999.66    11480.98
  -0.997  -0.471   1.315   1.717     8065.66     3898.55    -6861.81    11284.42
  -1.004  -0.475   1.322   1.726     7938.54     3842.04    -6727.29    11092.25
  -1.012  -0.478   1.328   1.736     7814.06     3786.63    -6595.99    10904.36
  -1.019  -0.482   1.334   1.746     7692.15     3732.30    -6467.82    10720.63
  -1.026  -0.485   1.340   1.756     7572.75     3679.02    -6342.69    10540.94
  -1.033  -0.488   1.346   1.765     7455.80     3626.77    -6220.52    10365.20
  -1.040  -0.492   1.352   1.775     7341.24     3575.52    -6101.22    10193.28
  -1.048  -0.496   1.358   1.785     7229.00     3525.25    -5984.71    10025.10
  -1.055  -0.499   1.364   1.795     7119.03     3475.93    -5870.93     9860.55
  -1.062  -0.503   1.370   1.804     7011.26     3427.54    -5759.78     9699.53
  -1.069  -0.506   1.375   1.814     6905.66     3380.06    -5651.20     9541.96
  -1.076  -0.510   1.381   1.824     6802.15     3333.47    -5545.12     9387.74
  -1.084  -0.513   1.387   1.834     6700.70     3287.75    -5441.47     9236.79
  -1.091  -0.517   1.393   1.843     6601.24     3242.88    -5340.18     9089.02
  -1.098  -0.520   1.399   1.853     6503.74     3198.83    -5241.19     8944.34
  -1.106  -0.524   1.405   1.863     6408.15     3155.60    -5144.44     8802.69
  -1.113  -0.528   1.411   1.873     6314.41     3113.15    -5049.87     8663.98
  -1.120  -0.531   1.417   1.882     6222.48     3071.48    -4957.41     8528.14
  -1.127  -0.535   1.422   1.892     6132.33     3030.56    -4867.02     8395.10
  -1.135  -0.538   1.428   1.902     6043.91     2990.38    -4778.63     8264.77
  -1.142  -0.542   1.434   1.912     5957.17     2950.92    -4692.20     8137.11
  -1.149  -0.546   1.440   1.921     5872.08     2912.16    -4607.68     8012.03
  -1.157  -0.549   1.445   1.931     5788.60     2874.09    -4525.00     7889.49
  -1.164  -0.553   1.451   1.941     5706.69     2836.70    -4444.14     7769.40
  -1.171  -0.557   1.457   1.950     5626.32     2799.97    -4365.03     7651.72
  -1.179  -0.560   1.463   1.960     5547.45     2763.88    -4287.63     7536.38
  -1.186  -0.564   1.468   1.970     5470.04     2728.42    -4211.91     7423.32
  -1.193  -0.568   1.474   1.980     5394.06     2693.57    -4137.81     7312.50
  -1.201  -0.571   1.480   1.989     5319.48     2659.33    -4065.29     7203.85
  -1.208  -0.575   1.485   1.999     5246.27     2625.68    -3994.32     7097.33
  -1.216  -0.579   1.491   2.009     5174.39     2592.61    -3924.85     6992.88
  -1.223  -0.582   1.496   2.018     5103.82     2560.10    -3856.86     6890.46
  -1.230  -0.586   1.502   2.028     5034.52     2528.14    -3790.29     6790.01
  -1.238  -0.590   1.508   2.038     4966.47     2496.72    -3725.12     6691.48
  -1.245  -0.594   1.513   2.048     4899.64     2465.83    -3661.30     6594.84
  -1.253  -0.597   1.519   2.057     4834.01     2435.46    -3598.82     6500.05
  -1.260  -0.601   1.524   2.067     4769.54     2405.60    -3537.62     6407.04
  -1.268  -0.605   1.530   2.077     4706.21     2376.23    -3477.69     6315.79
  -1.275  -0.609   1.535   2.086     4644.00     2347.35    -3418.99     6226.26
  -1.283  -0.612   1.541   2.096     4582.87     2318.95    -3361.49     6138.39
  -1.290  -0.616   1.546   2.106     4522.82     2291.01    -3305.16     6052.17
  -1.297  -0.620   1.552   2.115     4463.81     2263.53    -3249.98     5967.54
  -1.305  -0.624   1.557   2.125     4405.82     2236.49    -3195.91     5884.47
  -1.312  -0.627   1.563   2.135     4348.83     2209.89    -3142.93     5802.93
  -1.320  -0.631   1.568   2.145     4292.82     2183.72    -3091.01     5722.88
  -1.327  -0.635   1.573   2.154     4237.77     2157.97    -3040.13     5644.28
  -1.335  -0.639   1.579   2.164     4183.65     2132.64    -2990.27     5567.12
  -1.342  -0.643   1.584   2.174     4130.46     2107.70    -2941.39     5491.34
  -1.350  -0.647   1.589   2.183     4078.16     2083.17    -2893.48     5416.93
  -1.358  -0.650   1.595   2.193     4026.74     2059.01    -2846.51     5343.85
  -1.365  -0.654   1.600   2.203     3976.18     2035.24    -2800.46     5272.08
  -1.373  -0.658   1.605   2.212     3926.46     2011.84    -2755.31     5201.58
  -1.380  -0.662   1.611   2.222     3877.57     1988.81    -2711.04     5132.32
  -1.388  -0.666   1.616   2.232     3829.49     1966.13    -2667.63     5064.28
  -1.395  -0.670   1.621   2.241     3782.21     1943.81    -2625.06     4997.44
  -1.403  -0.674   1.626   2.251     3735.69     1921.82    -2583.31     4931.76
  -1.410  -0.678   1.632   2.261     3689.94     1900.18    -2542.35     4867.23
  -1.418  -0.682   1.637   2.270     3644.94     1878.86    -2502.18     4803.81
  -1.426  -0.685   1.642   2.280     3600.66     1857.87    -2462.78     4741.49
  -1.433  -0.689   1.647   2.290     3557.10     1837.20    -2424.12     4680.24
  -1.441  -0.693   1.652   2.299     3514.24     1816.84    -2386.19     4620.03
  -1.448  -0.697   1.658   2.309     3472.06     1796.79    -2348.98     4560.85
  -1.456  -0.701   1.663   2.319     3430.56     1777.03    -2312.47     4502.67
  -1.464  -0.705   1.668   2.328     3389.72     1757.57    -2276.63     4445.48
  -1.471  -0.709   1.673   2.338     3349.52     1738.40    -2241.47     4389.25
  -1.479  -0.713   1.678   2.348     3309.96     1719.51    -2206.96     4333.96
  -1.487  -0.717   1.683   2.357     3271.02     1700.90    -2173.09     4279.60
  -1.494  -0.721   1.688   2.367     3232.69     1682.57    -2139.84     4226.14
  -1.502  -0.725   1.693   2.377     3194.96     1664.50    -2107.20     4173.56
  -1.510  -0.729   1.698   2.386     3157.81     1646.70    -2075.16     4121.86
  -1.517  -0.733   1.703   2.396     3121.24     1629.15    -2043.71     4071.00
  -1.525  -0.737   1.708   2.406     3085.23     1611.86    -2012.82     4020.97
  -1.533  -0.741   1.713   2.415     3049.78     1594.81    -1982.50     3971.76
  -1.540  -0.745   1.718   2.425     3014.87     1578.01    -1952.73     3923.35
  -1.548  -0.749   1.723   2.435     2980.49     1561.45    -1923.49     3875.72
  -1.556  -0.753   1.728   2.444     2946.63     1545.13    -1894.77     3828.86
  -1.563  -0.757   1.733   2.454     2913.28     1529.04    -1866.57     3782.76
  -1.571  -0.761   1.738   2.463     2880.44     1513.17    -1838.87     3737.39
  -1.579  -0.765   1.743   2.473     2848.09     1497.53    -1811.66     3692.74
  -1.586  -0.769   1.748   2.483     2816.22     1482.10    -1784.94     3648.80
  -1.594  -0.773   1.753   2.492     2784.83     1466.90    -1758.68     3605.56
  -1.602  -0.777   1.758   2.502     2753.91     1451.90    -1732.89     3562.99
  -1.610  -0.781   1.763   2.512     2723.44     1437.11    -1707.55     3521.10
  -1.617  -0.786   1.767   2.521     2693.42     1422.53    -1682.65     3479.86
  -1.625  -0.790   1.772   2.531     2663.84     1408.14    -1658.19     3439.26
  -1.633  -0.794   1.777   2.541     2634.70     1393.96    -1634.15     3399.29
  -1.641  -0.798   1.782   2.550     2605.98     1379.96    -1610.53     3359.94
  -1.648  -0.802   1.787   2.560     2577.68     1366.16    -1587.31     3321.20
  -1.656  -0.806   1.791   2.569     2549.78     1352.55    -1564.49     3283.05
  -1.664  -0.810   1.796   2.579     2522.29     1339.11    -1542.07     3245.48
  -1.672  -0.814   1.801   2.589     2495.20     1325.86    -1520.03     3208.49
  -1.679  -0.818   1.806   2.598     2468.49     1312.79    -1498.36     3172.06
  -1.687  -0.823   1.810   2.608     2442.17     1299.89    -1477.06     3136.18
  -1.695  -0.827   1.815   2.617     2416.22     1287.17    -1456.12     3100.83
  -1.703  -0.831   1.820   2.627     2390.63     1274.61    -1435.53     3066.02
  -1.711  -0.835   1.824   2.637     2365.41     1262.22    -1415.29     3031.73
  -1.718  -0.839   1.829   2.646     2340.54     1249.99    -1395.39     2997.96
  -1.726  -0.843   1.834   2.656     2316.03     1237.92    -1375.83     2964.68
  -1.734  -0.848   1.838   2.666     2291.85     1226.01    -1356.58     2931.89
  -1.742  -0.852   1.843   2.675     2268.01     1214.25    -1337.66     2899.59
  -1.750  -0.856   1.848   2.685     2244.51     1202.65    -1319.05     2867.77
  -1.758  -0.860   1.852   2.694     2221.32     1191.20    -1300.75     2836.40
  -1.765  -0.864   1.857   2.704     2198.46     1179.89    -1282.75     2805.50
  -1.773  -0.869   1.861   2.714     2175.91     1168.74    -1265.05     2775.05
  -1.781  -0.873   1.866   2.723     2153.67     1157.72    -1247.63     2745.03
  -1.789  -0.877   1.870   2.733     2131.74     1146.84    -1230.50     2715.45
  -1.797  -0.881   1.875   2.742     2110.10     1136.11    -1213.65     2686.30
  -1.805  -0.885   1.879   2.752     2088.76     1125.51    -1197.07     2657.56
  -1.812  -0.890   1.884   2.761     2067.70     1115.04    -1180.76     2629.24
  -1.820  -0.894   1.888   2.771     2046.93     1104.70    -1164.71     2601.32
  -1.828  -0.898   1.893   2.781     2026.44     1094.50    -1148.92     2573.79
  -1.836  -0.902   1.897   2.790     2006.22     1084.42    -1133.38     2546.65
  -1.844  -0.907   1.902   2.800     1986.27     1074.47    -1118.10     2519.90
  -1.852  -0.911   1.906   2.809     1966.59     1064.64    -1103.05     2493.52
  -1.860  -0.915   1.911   2.819     1947.16     1054.93    -1088.25     2467.51
  -1.868  -0.920   1.915   2.829     1928.00     1045.35    -1073.68     2441.86
  -1.876  -0.924   1.919   2.838     1909.08     1035.88    -1059.33     2416.57
  -1.883  -0.928   1.924   2.848     1890.42     1026.53    -1045.22     2391.64
  -1.891  -0.932   1.928   2.857     1872.00     1017.29    -1031.33     2367.04
  -1.899  -0.937   1.933   2.867     1853.82     1008.16    -1017.65     2342.78
  -1.907  -0.941   1.937   2.876     1835.87      999.15    -1004.19     2318.86
  -1.915  -0.945   1.941   2.886     1818.16      990.24     -990.94     2295.26
  -1.923  -0.950   1.946   2.896     1800.67      981.44     -977.89     2271.99
  -1.931  -0.954   1.950   2.905     1783.41      972.75     -965.05     2249.03
  -1.939  -0.958   1.954   2.915     1766.38      964.16     -952.40     2226.38
  -1.947  -0.963   1.958   2.924     1749.56      955.67     -939.95     2204.04
  -1.955  -0.967   1.963   2.934     1732.95      947.29     -927.69     2181.99
  -1.963  -0.971   1.967   2.943     1716.56      939.00     -915.62     2160.25
  -1.971  -0.976   1.971   2.953     1700.37      930.82     -903.74     2138.79
  -1.979  -0.980   1.975   2.963     1684.39      922.73     -892.03     2117.62
  -1.987  -0.984   1.980   2.972     1668.61      914.73     -880.50     2096.73
  -1.994  -0.989   1.984   2.982     1653.03      906.83     -869.15     2076.12
  -2.002  -0.993   1.988   2.991     1637.64      899.02     -857.97     2055.78
  -2.010  -0.997   1.992   3.001     1622.45      891.30     -846.96     2035.70
  -2.018  -1.002   1.996   3.010     1607.44      883.67     -836.11     2015.89
  -2.026  -1.006   2.000   3.020     1592.62      876.13     -825.43     1996.34
  -2.034  -1.011   2.005   3.030     1577.98      868.68     -814.90     1977.04
  -2.042  -1.015   2.009   3.039     1563.53      861.31     -804.54     1958.00
  -2.050  -1.019   2.013   3.049     1549.25      854.03     -794.32     1939.20
  -2.058  -1.024   2.017   3.058     1535.15      846.83     -784.26     1920.64
  -2.066  -1.028   2.021   3.068     1521.21      839.71     -774.35     1902.32
  -2.074  -1.033   2.025   3.077     1507.45      832.67     -764.59     1884.24
  -2.082  -1.037   2.029   3.087     1493.86      825.72     -754.96     1866.39
  -2.090  -1.041   2.033   3.096     1480.43      818.84     -745.48     1848.76
  -2.098  -1.046   2.037   3.106     1467.16      812.04     -736.14     1831.36
  -2.106  -1.050   2.041   3.115     1454.05      805.31     -726.94     1814.18
  -2.114  -1.055   2.045   3.125     1441.10      798.66     -717.87     1797.21
  -2.122  -1.059   2.049   3.135     1428.31      792.09     -708.93     1780.46
  -2.130  -1.064   2.053   3.144     1415.66      785.59     -700.12     1763.92
  -2.138  -1.068   2.057   3.154     1403.17      779.16     -691.44     1747.59
  -2.146  -1.073   2.061   3.163     1390.83      772.80     -682.88     1731.46
  -2.154  -1.077   2.065   3.173     1378.63      766.51     -674.45     1715.53
  -2.163  -1.082   2.069   3.182     1366.57      760.29     -666.14     1699.80
  -2.171  -1.086   2.073   3.192     1354.66      754.14     -657.95     1684.26
  -2.179  -1.091   2.077   3.201     1342.89      748.06     -649.87     1668.91
  -2.187  -1.095   2.081   3.211     1331.25      742.04     -641.91     1653.76
  -2.195  -1.099   2.084   3.220     1319.75      736.09     -634.06     1638.78
  -2.203  -1.104   2.088   3.230     1308.39      730.20     -626.33     1623.99
  -2.211  -1.108   2.092   3.239     1297.15      724.38     -618.70     1609.39
