 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.568  -0.269   0.778   1.000    37878.30    15452.16   -33992.82    53188.78
  -0.575  -0.272   0.785   1.010    36985.86    15126.97   -32973.43    51807.59
  -0.582  -0.274   0.791   1.020    36117.94    14808.71   -31987.75    50468.01
  -0.589  -0.277   0.797   1.029    35273.94    14497.40   -31034.74    49168.90
  -0.596  -0.280   0.804   1.039    34453.27    14193.03   -30113.37    47909.13
  -0.603  -0.283   0.810   1.049    33655.31    13895.56   -29222.60    46687.55
  -0.611  -0.286   0.816   1.059    32879.47    13604.95   -28361.44    45503.03
  -0.618  -0.289   0.822   1.069    32125.15    13321.11   -27528.89    44354.45
  -0.625  -0.292   0.829   1.078    31391.74    13043.96   -26723.99    43240.69
  -0.632  -0.295   0.835   1.088    30678.66    12773.41   -25945.78    42160.69
  -0.640  -0.298   0.841   1.098    29985.32    12509.35   -25193.35    41113.36
  -0.647  -0.301   0.847   1.108    29311.16    12251.66   -24465.80    40097.67
  -0.654  -0.304   0.853   1.117    28655.62    12000.23   -23762.26    39112.59
  -0.662  -0.308   0.859   1.127    28018.14    11754.93   -23081.88    38157.14
  -0.669  -0.311   0.865   1.137    27398.18    11515.63   -22423.85    37230.35
  -0.676  -0.314   0.871   1.147    26795.23    11282.20   -21787.38    36331.29
  -0.684  -0.317   0.877   1.156    26208.77    11054.51   -21171.70    35459.03
  -0.691  -0.320   0.883   1.166    25638.30    10832.42   -20576.06    34612.69
  -0.699  -0.323   0.889   1.176    25083.34    10615.81   -19999.76    33791.41
  -0.706  -0.326   0.895   1.186    24543.41    10404.54   -19442.10    32994.37
  -0.713  -0.329   0.901   1.195    24018.06    10198.47   -18902.41    32220.76
  -0.721  -0.333   0.907   1.205    23506.84     9997.48   -18380.07    31469.79
  -0.728  -0.336   0.912   1.215    23009.32     9801.44   -17874.43    30740.73
  -0.736  -0.339   0.918   1.225    22525.07     9610.21   -17384.92    30032.83
  -0.743  -0.342   0.924   1.234    22053.71     9423.68   -16910.96    29345.39
  -0.751  -0.345   0.930   1.244    21594.82     9241.71   -16451.98    28677.75
  -0.758  -0.349   0.936   1.254    21148.03     9064.19   -16007.46    28029.23
  -0.766  -0.352   0.941   1.264    20712.97     8891.00   -15576.89    27399.21
  -0.774  -0.355   0.947   1.273    20289.27     8722.03   -15159.78    26787.07
  -0.781  -0.358   0.953   1.283    19876.61     8557.15   -14755.64    26192.23
  -0.789  -0.362   0.958   1.293    19474.63     8396.25   -14364.02    25614.12
  -0.796  -0.365   0.964   1.302    19083.01     8239.24   -13984.48    25052.19
  -0.804  -0.368   0.969   1.312    18701.45     8085.99   -13616.60    24505.90
  -0.812  -0.371   0.975   1.322    18329.63     7936.42   -13259.97    23974.75
  -0.819  -0.375   0.980   1.331    17967.27     7790.41   -12914.20    23458.25
  -0.827  -0.378   0.986   1.341    17614.07     7647.87   -12578.90    22955.92
  -0.835  -0.381   0.991   1.351    17269.77     7508.71   -12253.73    22467.30
  -0.842  -0.385   0.997   1.361    16934.10     7372.82   -11938.32    21991.95
  -0.850  -0.388   1.002   1.370    16606.80     7240.13   -11632.35    21529.44
  -0.858  -0.392   1.008   1.380    16287.62     7110.55   -11335.49    21079.37
  -0.866  -0.395   1.013   1.390    15976.32     6983.98   -11047.43    20641.33
  -0.873  -0.398   1.018   1.399    15672.68     6860.35   -10767.86    20214.95
  -0.881  -0.402   1.024   1.409    15376.45     6739.58   -10496.51    19799.85
  -0.889  -0.405   1.029   1.419    15087.44     6621.58   -10233.09    19395.68
  -0.897  -0.409   1.034   1.428    14805.43     6506.28    -9977.34    19002.10
  -0.904  -0.412   1.039   1.438    14530.21     6393.62    -9729.00    18618.77
  -0.912  -0.415   1.045   1.448    14261.58     6283.51    -9487.83    18245.39
  -0.920  -0.419   1.050   1.457    13999.37     6175.88    -9253.58    17881.63
  -0.928  -0.422   1.055   1.467    13743.38     6070.68    -9026.02    17527.20
  -0.936  -0.426   1.060   1.477    13493.43     5967.83    -8804.94    17181.81
  -0.944  -0.429   1.065   1.486    13249.36     5867.27    -8590.13    16845.20
  -0.951  -0.433   1.070   1.496    13010.99     5768.95    -8381.37    16517.08
  -0.959  -0.436   1.075   1.506    12778.17     5672.79    -8178.47    16197.21
  -0.967  -0.440   1.080   1.515    12550.74     5578.75    -7981.25    15885.33
  -0.975  -0.443   1.085   1.525    12328.55     5486.76    -7789.51    15581.21
  -0.983  -0.447   1.090   1.535    12111.45     5396.77    -7603.08    15284.61
  -0.991  -0.450   1.095   1.544    11899.30     5308.74    -7421.79    14995.30
  -0.999  -0.454   1.100   1.554    11691.96     5222.60    -7245.48    14713.07
  -1.007  -0.457   1.105   1.563    11489.31     5138.31    -7073.99    14437.72
  -1.015  -0.461   1.110   1.573    11291.21     5055.81    -6907.17    14169.04
  -1.023  -0.465   1.115   1.583    11097.54     4975.07    -6744.86    13906.83
  -1.031  -0.468   1.120   1.592    10908.17     4896.04    -6586.93    13650.90
