 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.456  -0.215   0.864   1.000    30882.60    12555.02   -43176.40    54548.74
  -0.462  -0.217   0.871   1.010    30137.62    12298.44   -42009.81    53144.64
  -0.468  -0.219   0.879   1.020    29414.44    12046.76   -40878.78    51782.32
  -0.473  -0.222   0.887   1.030    28712.42    11800.06   -39782.35    50460.68
  -0.479  -0.224   0.895   1.040    28030.91    11558.42   -38719.58    49178.61
  -0.485  -0.226   0.903   1.050    27369.31    11321.89   -37689.50    47934.99
  -0.490  -0.229   0.911   1.059    26727.00    11090.47   -36691.16    46728.71
  -0.496  -0.231   0.919   1.069    26103.38    10864.15   -35723.62    45558.68
  -0.502  -0.233   0.927   1.079    25497.86    10642.92   -34785.92    44423.79
  -0.508  -0.236   0.934   1.089    24909.88    10426.74   -33877.16    43322.98
  -0.513  -0.238   0.942   1.099    24338.88    10215.54   -32996.42    42255.20
  -0.519  -0.241   0.950   1.109    23784.32    10009.27   -32142.81    41219.41
  -0.525  -0.243   0.958   1.119    23245.68     9807.87   -31315.46    40214.60
  -0.531  -0.246   0.966   1.129    22722.44     9611.24   -30513.52    39239.78
  -0.536  -0.248   0.973   1.139    22214.12     9419.30   -29736.16    38293.99
  -0.542  -0.251   0.981   1.149    21720.22     9231.98   -28982.57    37376.29
  -0.548  -0.253   0.989   1.159    21240.29     9049.16   -28251.97    36485.77
  -0.554  -0.255   0.997   1.168    20773.87     8870.77   -27543.60    35621.54
  -0.560  -0.258   1.004   1.178    20320.53     8696.70   -26856.70    34782.74
  -0.566  -0.260   1.012   1.188    19879.85     8526.86   -26190.58    33968.54
  -0.571  -0.263   1.020   1.198    19451.41     8361.15   -25544.52    33178.14
  -0.577  -0.266   1.027   1.208    19034.82     8199.47   -24917.87    32410.74
  -0.583  -0.268   1.035   1.218    18629.71     8041.72   -24309.96    31665.58
  -0.589  -0.271   1.043   1.228    18235.69     7887.80   -23720.17    30941.95
  -0.595  -0.273   1.050   1.238    17852.42     7737.62   -23147.88    30239.12
  -0.601  -0.276   1.058   1.248    17479.55     7591.09   -22592.52    29556.41
  -0.607  -0.278   1.066   1.258    17116.75     7448.10   -22053.52    28893.16
  -0.613  -0.281   1.073   1.267    16763.70     7308.57   -21530.31    28248.74
  -0.619  -0.283   1.081   1.277    16420.08     7172.41   -21022.39    27622.51
  -0.625  -0.286   1.089   1.287    16085.60     7039.52   -20529.22    27013.89
  -0.631  -0.289   1.096   1.297    15759.97     6909.82   -20050.33    26422.30
  -0.637  -0.291   1.104   1.307    15442.91     6783.22   -19585.23    25847.19
  -0.643  -0.294   1.111   1.317    15134.15     6659.64   -19133.48    25288.01
  -0.649  -0.297   1.119   1.327    14833.44     6539.00   -18694.61    24744.25
  -0.655  -0.299   1.126   1.337    14540.51     6421.22   -18268.22    24215.41
  -0.661  -0.302   1.134   1.347    14255.13     6306.22   -17853.88    23701.02
  -0.667  -0.305   1.141   1.356    13977.07     6193.92   -17451.20    23200.59
  -0.673  -0.307   1.149   1.366    13706.09     6084.25   -17059.80    22713.70
  -0.679  -0.310   1.157   1.376    13441.99     5977.14   -16679.31    22239.89
  -0.685  -0.313   1.164   1.386    13184.55     5872.52   -16309.38    21778.77
  -0.691  -0.315   1.171   1.396    12933.57     5770.32   -15949.65    21329.91
  -0.697  -0.318   1.179   1.406    12688.85     5670.48   -15599.81    20892.95
  -0.703  -0.321   1.186   1.416    12450.20     5572.93   -15259.53    20467.49
  -0.709  -0.323   1.194   1.426    12217.45     5477.60   -14928.50    20053.19
  -0.715  -0.326   1.201   1.436    11990.40     5384.45   -14606.43    19649.68
  -0.721  -0.329   1.209   1.445    11768.91     5293.40   -14293.04    19256.64
  -0.727  -0.332   1.216   1.455    11552.79     5204.40   -13988.04    18873.74
  -0.733  -0.334   1.224   1.465    11341.89     5117.40   -13691.17    18500.66
  -0.740  -0.337   1.231   1.475    11136.07     5032.34   -13402.18    18137.12
  -0.746  -0.340   1.238   1.485    10935.16     4949.18   -13120.82    17782.80
  -0.752  -0.343   1.246   1.495    10739.02     4867.85   -12846.85    17437.43
  -0.758  -0.346   1.253   1.505    10547.53     4788.31   -12580.04    17100.75
  -0.764  -0.348   1.260   1.515    10360.53     4710.51   -12320.16    16772.48
  -0.770  -0.351   1.268   1.524    10177.91     4634.41   -12067.02    16452.37
  -0.777  -0.354   1.275   1.534     9999.54     4559.96   -11820.38    16140.18
  -0.783  -0.357   1.282   1.544     9825.30     4487.11   -11580.07    15835.68
  -0.789  -0.360   1.290   1.554     9655.07     4415.83   -11345.88    15538.63
  -0.795  -0.363   1.297   1.564     9488.73     4346.08   -11117.63    15248.81
  -0.801  -0.365   1.304   1.574     9326.19     4277.81   -10895.14    14966.01
  -0.808  -0.368   1.312   1.584     9167.33     4210.98   -10678.24    14690.03
  -0.814  -0.371   1.319   1.594     9012.04     4145.56   -10466.76    14420.67
  -0.820  -0.374   1.326   1.603     8860.24     4081.51   -10260.54    14157.73
  -0.826  -0.377   1.333   1.613     8711.83     4018.80   -10059.41    13901.02
  -0.833  -0.380   1.341   1.623     8566.70     3957.39    -9863.24    13650.38
  -0.839  -0.383   1.348   1.633     8424.78     3897.24    -9671.88    13405.62
  -0.845  -0.386   1.355   1.643     8285.98     3838.33    -9485.18    13166.58
  -0.852  -0.388   1.362   1.653     8150.21     3780.63    -9303.01    12933.10
  -0.858  -0.391   1.369   1.663     8017.39     3724.10    -9125.24    12705.01
  -0.864  -0.394   1.377   1.673     7887.44     3668.71    -8951.73    12482.17
  -0.871  -0.397   1.384   1.682     7760.28     3614.44    -8782.38    12264.43
  -0.877  -0.400   1.391   1.692     7635.84     3561.25    -8617.05    12051.65
  -0.883  -0.403   1.398   1.702     7514.06     3509.13    -8455.64    11843.69
  -0.890  -0.406   1.405   1.712     7394.85     3458.04    -8298.03    11640.41
  -0.896  -0.409   1.412   1.722     7278.16     3407.96    -8144.11    11441.69
  -0.902  -0.412   1.419   1.732     7163.91     3358.86    -7993.79    11247.41
  -0.909  -0.415   1.427   1.742     7052.05     3310.73    -7846.96    11057.44
  -0.915  -0.418   1.434   1.751     6942.50     3263.53    -7703.52    10871.67
  -0.921  -0.421   1.441   1.761     6835.23     3217.24    -7563.38    10689.98
  -0.928  -0.424   1.448   1.771     6730.15     3171.85    -7426.45    10512.27
  -0.934  -0.427   1.455   1.781     6627.22     3127.32    -7292.64    10338.42
  -0.941  -0.430   1.462   1.791     6526.39     3083.65    -7161.87    10168.33
  -0.947  -0.433   1.469   1.801     6427.60     3040.80    -7034.04    10001.92
  -0.953  -0.436   1.476   1.810     6330.80     2998.76    -6909.09     9839.07
  -0.960  -0.439   1.483   1.820     6235.95     2957.52    -6786.93     9679.69
  -0.966  -0.442   1.490   1.830     6142.98     2917.04    -6667.50     9523.70
  -0.973  -0.445   1.497   1.840     6051.86     2877.32    -6550.70     9371.00
  -0.979  -0.449   1.504   1.850     5962.54     2838.34    -6436.49     9221.52
  -0.986  -0.452   1.511   1.860     5874.98     2800.07    -6324.78     9075.16
  -0.992  -0.455   1.518   1.870     5789.13     2762.51    -6215.51     8931.86
  -0.999  -0.458   1.525   1.879     5704.96     2725.63    -6108.62     8791.52
  -1.005  -0.461   1.532   1.889     5622.41     2689.43    -6004.04     8654.08
  -1.012  -0.464   1.539   1.899     5541.46     2653.87    -5901.72     8519.45
  -1.018  -0.467   1.546   1.909     5462.06     2618.96    -5801.59     8387.58
  -1.025  -0.470   1.553   1.919     5384.18     2584.68    -5703.60     8258.40
  -1.031  -0.473   1.559   1.929     5307.79     2551.01    -5607.70     8131.82
  -1.038  -0.477   1.566   1.938     5232.83     2517.93    -5513.83     8007.80
  -1.044  -0.480   1.573   1.948     5159.30     2485.44    -5421.93     7886.26
  -1.051  -0.483   1.580   1.958     5087.14     2453.52    -5331.96     7767.15
  -1.057  -0.486   1.587   1.968     5016.32     2422.16    -5243.88     7650.40
  -1.064  -0.489   1.594   1.978     4946.83     2391.35    -5157.62     7535.96
  -1.071  -0.492   1.601   1.988     4878.62     2361.07    -5073.15     7423.78
  -1.077  -0.496   1.607   1.997     4811.67     2331.32    -4990.43     7313.79
  -1.084  -0.499   1.614   2.007     4745.94     2302.07    -4909.40     7205.95
  -1.090  -0.502   1.621   2.017     4681.41     2273.33    -4830.03     7100.20
  -1.097  -0.505   1.628   2.027     4618.06     2245.07    -4752.27     6996.49
  -1.103  -0.508   1.635   2.037     4555.85     2217.30    -4676.09     6894.78
  -1.110  -0.512   1.641   2.047     4494.76     2190.00    -4601.45     6795.02
  -1.117  -0.515   1.648   2.056     4434.77     2163.15    -4528.30     6697.16
  -1.123  -0.518   1.655   2.066     4375.85     2136.75    -4456.62     6601.16
  -1.130  -0.521   1.662   2.076     4317.98     2110.80    -4386.37     6506.97
  -1.137  -0.524   1.668   2.086     4261.12     2085.27    -4317.51     6414.55
  -1.143  -0.528   1.675   2.096     4205.27     2060.17    -4250.01     6323.86
  -1.150  -0.531   1.682   2.105     4150.40     2035.47    -4183.84     6234.87
  -1.157  -0.534   1.689   2.115     4096.49     2011.19    -4118.97     6147.52
  -1.163  -0.538   1.695   2.125     4043.52     1987.30    -4055.36     6061.79
  -1.170  -0.541   1.702   2.135     3991.46     1963.79    -3992.99     5977.64
  -1.177  -0.544   1.709   2.145     3940.30     1940.67    -3931.82     5895.03
  -1.183  -0.547   1.715   2.155     3890.01     1917.92    -3871.84     5813.92
  -1.190  -0.551   1.722   2.164     3840.59     1895.53    -3813.00     5734.29
  -1.197  -0.554   1.729   2.174     3792.01     1873.50    -3755.29     5656.10
  -1.203  -0.557   1.735   2.184     3744.25     1851.82    -3698.68     5579.32
  -1.210  -0.561   1.742   2.194     3697.29     1830.48    -3643.14     5503.91
  -1.217  -0.564   1.748   2.204     3651.13     1809.48    -3588.65     5429.86
  -1.224  -0.567   1.755   2.213     3605.73     1788.80    -3535.18     5357.11
  -1.230  -0.571   1.762   2.223     3561.10     1768.45    -3482.72     5285.66
  -1.237  -0.574   1.768   2.233     3517.20     1748.42    -3431.23     5215.46
  -1.244  -0.577   1.775   2.243     3474.03     1728.70    -3380.71     5146.50
  -1.251  -0.581   1.781   2.253     3431.57     1709.28    -3331.11     5078.74
  -1.257  -0.584   1.788   2.262     3389.80     1690.16    -3282.44     5012.16
  -1.264  -0.587   1.794   2.272     3348.72     1671.33    -3234.65     4946.74
  -1.271  -0.591   1.801   2.282     3308.30     1652.79    -3187.74     4882.44
  -1.278  -0.594   1.808   2.292     3268.54     1634.53    -3141.69     4819.26
  -1.284  -0.598   1.814   2.302     3229.42     1616.54    -3096.47     4757.15
  -1.291  -0.601   1.821   2.311     3190.92     1598.83    -3052.07     4696.10
  -1.298  -0.604   1.827   2.321     3153.05     1581.38    -3008.47     4636.09
  -1.305  -0.608   1.834   2.331     3115.77     1564.19    -2965.65     4577.10
  -1.312  -0.611   1.840   2.341     3079.09     1547.26    -2923.59     4519.09
  -1.318  -0.615   1.846   2.351     3042.99     1530.58    -2882.29     4462.07
  -1.325  -0.618   1.853   2.360     3007.45     1514.14    -2841.72     4405.99
  -1.332  -0.622   1.859   2.370     2972.47     1497.95    -2801.86     4350.85
  -1.339  -0.625   1.866   2.380     2938.04     1481.99    -2762.71     4296.62
  -1.346  -0.628   1.872   2.390     2904.14     1466.26    -2724.25     4243.29
  -1.353  -0.632   1.879   2.400     2870.77     1450.77    -2686.45     4190.83
  -1.359  -0.635   1.885   2.409     2837.91     1435.49    -2649.32     4139.24
  -1.366  -0.639   1.891   2.419     2805.56     1420.44    -2612.83     4088.48
  -1.373  -0.642   1.898   2.429     2773.71     1405.60    -2576.97     4038.55
  -1.380  -0.646   1.904   2.439     2742.34     1390.98    -2541.73     3989.43
  -1.387  -0.649   1.911   2.449     2711.44     1376.56    -2507.09     3941.11
  -1.394  -0.653   1.917   2.458     2681.02     1362.34    -2473.04     3893.55
  -1.401  -0.656   1.923   2.468     2651.05     1348.33    -2439.58     3846.76
  -1.408  -0.660   1.930   2.478     2621.53     1334.52    -2406.68     3800.72
  -1.414  -0.663   1.936   2.488     2592.45     1320.89    -2374.34     3755.41
  -1.421  -0.667   1.942   2.497     2563.81     1307.46    -2342.54     3710.81
  -1.428  -0.670   1.949   2.507     2535.60     1294.22    -2311.28     3666.91
  -1.435  -0.674   1.955   2.517     2507.80     1281.16    -2280.54     3623.71
  -1.442  -0.677   1.961   2.527     2480.41     1268.28    -2250.32     3581.18
  -1.449  -0.681   1.967   2.537     2453.42     1255.57    -2220.59     3539.31
  -1.456  -0.685   1.974   2.546     2426.83     1243.04    -2191.36     3498.10
  -1.463  -0.688   1.980   2.556     2400.62     1230.68    -2162.61     3457.52
  -1.470  -0.692   1.986   2.566     2374.80     1218.49    -2134.33     3417.57
  -1.477  -0.695   1.992   2.576     2349.35     1206.47    -2106.52     3378.23
  -1.484  -0.699   1.999   2.585     2324.26     1194.60    -2079.16     3339.49
  -1.491  -0.702   2.005   2.595     2299.54     1182.90    -2052.24     3301.34
  -1.498  -0.706   2.011   2.605     2275.17     1171.35    -2025.77     3263.77
  -1.505  -0.710   2.017   2.615     2251.15     1159.96    -1999.72     3226.77
  -1.512  -0.713   2.024   2.625     2227.47     1148.72    -1974.08     3190.33
  -1.519  -0.717   2.030   2.634     2204.12     1137.63    -1948.86     3154.43
  -1.526  -0.720   2.036   2.644     2181.11     1126.68    -1924.05     3119.07
  -1.533  -0.724   2.042   2.654     2158.41     1115.88    -1899.63     3084.24
  -1.540  -0.728   2.048   2.664     2136.04     1105.22    -1875.60     3049.92
  -1.547  -0.731   2.054   2.673     2113.98     1094.70    -1851.94     3016.12
  -1.554  -0.735   2.060   2.683     2092.22     1084.31    -1828.66     2982.81
  -1.561  -0.739   2.067   2.693     2070.77     1074.06    -1805.75     2949.99
  -1.568  -0.742   2.073   2.703     2049.61     1063.95    -1783.20     2917.65
  -1.575  -0.746   2.079   2.712     2028.75     1053.96    -1761.00     2885.79
  -1.582  -0.749   2.085   2.722     2008.17     1044.10    -1739.14     2854.38
  -1.589  -0.753   2.091   2.732     1987.87     1034.37    -1717.63     2823.43
  -1.596  -0.757   2.097   2.742     1967.85     1024.76    -1696.44     2792.93
  -1.603  -0.760   2.103   2.752     1948.10     1015.27    -1675.59     2762.87
  -1.610  -0.764   2.109   2.761     1928.61     1005.91    -1655.05     2733.24
  -1.617  -0.768   2.115   2.771     1909.39      996.66    -1634.83     2704.03
  -1.624  -0.772   2.121   2.781     1890.43      987.53    -1614.92     2675.24
  -1.631  -0.775   2.127   2.791     1871.72      978.51    -1595.31     2646.85
  -1.638  -0.779   2.133   2.800     1853.26      969.61    -1575.99     2618.87
  -1.645  -0.783   2.139   2.810     1835.05      960.81    -1556.97     2591.28
  -1.652  -0.786   2.145   2.820     1817.08      952.13    -1538.24     2564.08
  -1.659  -0.790   2.151   2.830     1799.35      943.55    -1519.79     2537.26
  -1.667  -0.794   2.157   2.839     1781.84      935.08    -1501.61     2510.81
  -1.674  -0.798   2.163   2.849     1764.57      926.71    -1483.71     2484.74
  -1.681  -0.801   2.169   2.859     1747.53      918.45    -1466.07     2459.02
  -1.688  -0.805   2.175   2.869     1730.71      910.28    -1448.70     2433.66
  -1.695  -0.809   2.181   2.878     1714.10      902.22    -1431.58     2408.64
  -1.702  -0.812   2.187   2.888     1697.71      894.25    -1414.71     2383.97
  -1.709  -0.816   2.193   2.898     1681.53      886.38    -1398.10     2359.64
  -1.716  -0.820   2.199   2.908     1665.56      878.60    -1381.72     2335.64
  -1.723  -0.824   2.205   2.917     1649.80      870.92    -1365.59     2311.96
  -1.731  -0.828   2.211   2.927     1634.24      863.32    -1349.69     2288.60
  -1.738  -0.831   2.217   2.937     1618.87      855.82    -1334.02     2265.56
  -1.745  -0.835   2.223   2.947     1603.70      848.41    -1318.58     2242.83
  -1.752  -0.839   2.228   2.956     1588.72      841.09    -1303.36     2220.41
  -1.759  -0.843   2.234   2.966     1573.93      833.85    -1288.36     2198.28
  -1.766  -0.846   2.240   2.976     1559.33      826.70    -1273.57     2176.45
  -1.774  -0.850   2.246   2.985     1544.91      819.63    -1259.00     2154.91
  -1.781  -0.854   2.252   2.995     1530.67      812.64    -1244.63     2133.65
  -1.788  -0.858   2.258   3.005     1516.61      805.74    -1230.47     2112.67
  -1.795  -0.862   2.264   3.015     1502.72      798.91    -1216.51     2091.97
  -1.802  -0.865   2.269   3.024     1489.01      792.17    -1202.75     2071.54
  -1.809  -0.869   2.275   3.034     1475.46      785.50    -1189.18     2051.37
  -1.817  -0.873   2.281   3.044     1462.08      778.91    -1175.80     2031.47
  -1.824  -0.877   2.287   3.054     1448.87      772.39    -1162.61     2011.83
  -1.831  -0.881   2.292   3.063     1435.81      765.95    -1149.60     1992.44
  -1.838  -0.885   2.298   3.073     1422.92      759.59    -1136.77     1973.30
  -1.845  -0.889   2.304   3.083     1410.18      753.29    -1124.13     1954.41
  -1.853  -0.892   2.310   3.093     1397.59      747.07    -1111.65     1935.76
  -1.860  -0.896   2.315   3.102     1385.16      740.91    -1099.35     1917.34
  -1.867  -0.900   2.321   3.112     1372.88      734.83    -1087.22     1899.16
  -1.874  -0.904   2.327   3.122     1360.74      728.81    -1075.26     1881.22
  -1.882  -0.908   2.333   3.131     1348.75      722.86    -1063.46     1863.50
  -1.889  -0.912   2.338   3.141     1336.91      716.98    -1051.82     1846.00
  -1.896  -0.916   2.344   3.151     1325.20      711.17    -1040.34     1828.72
  -1.903  -0.920   2.350   3.161     1313.64      705.41    -1029.01     1811.66
  -1.911  -0.923   2.355   3.170     1302.20      699.73    -1017.84     1794.81
  -1.918  -0.927   2.361   3.180     1290.89      694.12    -1006.83     1778.17
  -1.925  -0.931   2.367   3.190     1279.71      688.58     -995.96     1761.74
  -1.932  -0.935   2.372   3.200     1268.66      683.09     -985.24     1745.51
  -1.940  -0.939   2.378   3.209     1257.74      677.67     -974.67     1729.48
  -1.947  -0.943   2.384   3.219     1246.94      672.30     -964.23     1713.65
  -1.954  -0.947   2.389   3.229     1236.27      667.00     -953.94     1698.01
  -1.961  -0.951   2.395   3.238     1225.73      661.75     -943.78     1682.57
  -1.969  -0.955   2.400   3.248     1215.31      656.55     -933.75     1667.31
  -1.976  -0.959   2.406   3.258     1205.00      651.42     -923.86     1652.24
  -1.983  -0.963   2.412   3.268     1194.82      646.34     -914.10     1637.35
  -1.991  -0.967   2.417   3.277     1184.75      641.31     -904.46     1622.64
  -1.998  -0.971   2.423   3.287     1174.79      636.34     -894.95     1608.11
  -2.005  -0.975   2.428   3.297     1164.95      631.42     -885.57     1593.75
  -2.013  -0.978   2.434   3.306     1155.23      626.55     -876.31     1579.56
  -2.020  -0.982   2.439   3.316     1145.61      621.73     -867.17     1565.55
  -2.027  -0.986   2.445   3.326     1136.10      616.96     -858.14     1551.70
  -2.035  -0.990   2.451   3.335     1126.69      612.25     -849.24     1538.01
  -2.042  -0.994   2.456   3.345     1117.39      607.58     -840.45     1524.49
  -2.049  -0.998   2.462   3.355     1108.20      602.97     -831.77     1511.13
  -2.057  -1.002   2.467   3.365     1099.11      598.40     -823.20     1497.92
  -2.064  -1.006   2.473   3.374     1090.12      593.88     -814.74     1484.87
  -2.071  -1.010   2.478   3.384     1081.23      589.40     -806.39     1471.98
  -2.079  -1.014   2.484   3.394     1072.43      584.97     -798.15     1459.23
  -2.086  -1.018   2.489   3.403     1063.74      580.59     -790.01     1446.63
  -2.093  -1.022   2.494   3.413     1055.14      576.25     -781.97     1434.18
  -2.101  -1.026   2.500   3.423     1046.63      571.96     -774.04     1421.87
  -2.108  -1.030   2.505   3.433     1038.22      567.71     -766.20     1409.70
  -2.115  -1.034   2.511   3.442     1029.90      563.51     -758.47     1397.68
  -2.123  -1.039   2.516   3.452     1021.66      559.35     -750.83     1385.79
  -2.130  -1.043   2.522   3.462     1013.52      555.22     -743.28     1374.03
  -2.137  -1.047   2.527   3.471     1005.47      551.15     -735.83     1362.42
  -2.145  -1.051   2.532   3.481      997.50      547.11     -728.47     1350.93
  -2.152  -1.055   2.538   3.491      989.62      543.11     -721.21     1339.57
  -2.160  -1.059   2.543   3.500      981.82      539.16     -714.03     1328.35
  -2.167  -1.063   2.549   3.510      974.11      535.24     -706.94     1317.25
  -2.174  -1.067   2.554   3.520      966.48      531.36     -699.94     1306.27
  -2.182  -1.071   2.559   3.529      958.93      527.52     -693.03     1295.42
  -2.189  -1.075   2.565   3.539      951.46      523.72     -686.19     1284.69
  -2.197  -1.079   2.570   3.549      944.07      519.96     -679.45     1274.07
  -2.204  -1.083   2.575   3.559      936.75      516.23     -672.78     1263.58
  -2.211  -1.087   2.581   3.568      929.52      512.54     -666.20     1253.20
  -2.219  -1.091   2.586   3.578      922.36      508.89     -659.69     1242.94
  -2.226  -1.095   2.591   3.588      915.27      505.27     -653.27     1232.79
  -2.234  -1.100   2.596   3.597      908.26      501.69     -646.92     1222.75
  -2.241  -1.104   2.602   3.607      901.32      498.14     -640.65     1212.83
  -2.249  -1.108   2.607   3.617      894.45      494.63     -634.45     1203.01
  -2.256  -1.112   2.612   3.626      887.66      491.15     -628.33     1193.30
  -2.263  -1.116   2.618   3.636      880.93      487.71     -622.28     1183.69
  -2.271  -1.120   2.623   3.646      874.28      484.29     -616.30     1174.19
  -2.278  -1.124   2.628   3.655      867.69      480.92     -610.39     1164.79
  -2.286  -1.128   2.633   3.665      861.17      477.57     -604.55     1155.49
  -2.293  -1.133   2.639   3.675      854.71      474.25     -598.79     1146.30
  -2.301  -1.137   2.644   3.684      848.33      470.97     -593.09     1137.20
  -2.308  -1.141   2.649   3.694      842.00      467.72     -587.45     1128.20
  -2.316  -1.145   2.654   3.704      835.74      464.50     -581.89     1119.29
  -2.323  -1.149   2.659   3.713      829.55      461.31     -576.39     1110.49
  -2.331  -1.153   2.665   3.723      823.42      458.15     -570.95     1101.77
  -2.338  -1.157   2.670   3.733      817.34      455.02     -565.57     1093.15
  -2.346  -1.162   2.675   3.742      811.33      451.92     -560.26     1084.61
  -2.353  -1.166   2.680   3.752      805.38      448.85     -555.01     1076.17
  -2.361  -1.170   2.685   3.762      799.49      445.80     -549.82     1067.82
  -2.368  -1.174   2.690   3.771      793.66      442.79     -544.69     1059.55
  -2.376  -1.178   2.696   3.781      787.89      439.80     -539.62     1051.37
  -2.383  -1.182   2.701   3.791      782.17      436.85     -534.61     1043.28
  -2.391  -1.187   2.706   3.800      776.51      433.91     -529.66     1035.27
  -2.398  -1.191   2.711   3.810      770.90      431.01     -524.76     1027.34
  -2.406  -1.195   2.716   3.820      765.35      428.13     -519.92     1019.50
  -2.413  -1.199   2.721   3.830      759.86      425.28     -515.13     1011.73
  -2.421  -1.203   2.726   3.839      754.42      422.46     -510.40     1004.05
  -2.428  -1.208   2.731   3.849      749.03      419.66     -505.72      996.45
  -2.436  -1.212   2.736   3.858      743.69      416.88     -501.09      988.92
  -2.443  -1.216   2.741   3.868      738.41      414.13     -496.52      981.47
  -2.451  -1.220   2.746   3.878      733.17      411.41     -491.99      974.10
  -2.458  -1.225   2.751   3.887      727.99      408.71     -487.52      966.80
  -2.466  -1.229   2.757   3.897      722.86      406.04     -483.10      959.57
  -2.473  -1.233   2.762   3.907      717.78      403.39     -478.73      952.42
  -2.481  -1.237   2.767   3.916      712.74      400.76     -474.40      945.34
  -2.488  -1.241   2.772   3.926      707.76      398.16     -470.13      938.33
  -2.496  -1.246   2.777   3.936      702.82      395.58     -465.90      931.40
