 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.456  -0.215   0.864   1.000    30936.59    12490.86   -43126.12    54524.82
  -0.462  -0.217   0.871   1.010    30190.23    12234.59   -41959.92    53120.33
  -0.468  -0.219   0.879   1.020    29465.72    11983.21   -40829.24    51757.63
  -0.473  -0.222   0.887   1.030    28762.40    11736.83   -39733.15    50435.62
  -0.479  -0.224   0.895   1.040    28079.65    11495.52   -38670.69    49153.19
  -0.485  -0.226   0.903   1.050    27416.83    11259.33   -37640.90    47909.21
  -0.490  -0.229   0.911   1.059    26773.33    11028.26   -36642.84    46702.59
  -0.496  -0.231   0.919   1.069    26148.56    10802.31   -35675.56    45532.21
  -0.502  -0.233   0.927   1.079    25541.93    10581.45   -34738.12    44397.00
  -0.508  -0.236   0.934   1.089    24952.86    10365.65   -33829.59    43295.88
  -0.513  -0.238   0.942   1.099    24380.80    10154.85   -32949.08    42227.79
  -0.519  -0.241   0.950   1.109    23825.22     9948.98   -32095.69    41191.70
  -0.525  -0.243   0.958   1.119    23285.58     9747.98   -31268.55    40186.61
  -0.531  -0.245   0.965   1.129    22761.36     9551.77   -30466.81    39211.51
  -0.537  -0.248   0.973   1.139    22252.09     9360.26   -29689.64    38265.45
  -0.542  -0.250   0.981   1.149    21757.27     9173.36   -28936.25    37347.50
  -0.548  -0.253   0.989   1.159    21276.44     8990.99   -28205.83    36456.73
  -0.554  -0.255   0.996   1.168    20809.14     8813.04   -27497.63    35592.27
  -0.560  -0.258   1.004   1.178    20354.95     8639.41   -26810.91    34753.25
  -0.566  -0.260   1.012   1.188    19913.43     8470.02   -26144.95    33938.83
  -0.572  -0.263   1.020   1.198    19484.17     8304.76   -25499.06    33148.22
  -0.578  -0.265   1.027   1.208    19066.79     8143.53   -24872.57    32380.62
  -0.584  -0.268   1.035   1.218    18660.90     7986.23   -24264.82    31635.27
  -0.589  -0.270   1.043   1.228    18266.12     7832.77   -23675.18    30911.45
  -0.595  -0.273   1.050   1.238    17882.11     7683.06   -23103.05    30208.45
  -0.601  -0.275   1.058   1.248    17508.52     7536.98   -22547.84    29525.57
  -0.607  -0.278   1.066   1.258    17145.01     7394.45   -22008.98    28862.16
  -0.613  -0.280   1.073   1.267    16791.26     7255.38   -21485.92    28217.58
  -0.619  -0.283   1.081   1.277    16446.97     7119.68   -20978.13    27591.20
  -0.625  -0.286   1.088   1.287    16111.83     6987.25   -20485.10    26982.44
  -0.631  -0.288   1.096   1.297    15785.55     6858.01   -20006.35    26390.71
  -0.637  -0.291   1.104   1.307    15467.85     6731.87   -19541.38    25815.47
  -0.643  -0.293   1.111   1.317    15158.47     6608.75   -19089.76    25256.16
  -0.649  -0.296   1.119   1.327    14857.15     6488.56   -18651.02    24712.28
  -0.655  -0.299   1.126   1.337    14563.62     6371.23   -18224.75    24183.33
  -0.661  -0.301   1.134   1.347    14277.66     6256.68   -17810.54    23668.82
  -0.667  -0.304   1.141   1.356    13999.03     6144.83   -17407.98    23168.29
  -0.673  -0.307   1.149   1.366    13727.49     6035.61   -17016.70    22681.29
  -0.679  -0.309   1.156   1.376    13462.84     5928.95   -16636.33    22207.39
  -0.685  -0.312   1.164   1.386    13204.86     5824.77   -16266.51    21746.16
  -0.691  -0.315   1.171   1.396    12953.35     5723.02   -15906.90    21297.22
  -0.697  -0.317   1.179   1.406    12708.11     5623.61   -15557.17    20860.17
  -0.704  -0.320   1.186   1.416    12468.95     5526.49   -15217.00    20434.63
  -0.710  -0.323   1.194   1.426    12235.70     5431.60   -14886.08    20020.24
  -0.716  -0.326   1.201   1.436    12008.17     5338.87   -14564.12    19616.66
  -0.722  -0.328   1.208   1.445    11786.19     5248.25   -14250.83    19223.54
  -0.728  -0.331   1.216   1.455    11569.61     5159.67   -13945.93    18840.57
  -0.734  -0.334   1.223   1.465    11358.25     5073.09   -13649.17    18467.43
  -0.740  -0.336   1.231   1.475    11151.97     4988.45   -13360.28    18103.81
  -0.746  -0.339   1.238   1.485    10950.61     4905.69   -13079.02    17749.43
  -0.753  -0.342   1.245   1.495    10754.04     4824.77   -12805.14    17404.01
  -0.759  -0.345   1.253   1.505    10562.11     4745.64   -12538.43    17067.26
  -0.765  -0.348   1.260   1.515    10374.70     4668.25   -12278.65    16738.94
  -0.771  -0.350   1.267   1.524    10191.67     4592.54   -12025.59    16418.78
  -0.777  -0.353   1.275   1.534    10012.89     4518.49   -11779.05    16106.54
  -0.784  -0.356   1.282   1.544     9838.25     4446.04   -11538.83    15801.99
  -0.790  -0.359   1.289   1.554     9667.62     4375.14   -11304.73    15504.89
  -0.796  -0.362   1.297   1.564     9500.90     4305.77   -11076.57    15215.03
  -0.802  -0.364   1.304   1.574     9337.98     4237.88   -10854.17    14932.19
