 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.456  -0.215   0.864   1.000    30942.41    12507.87   -43132.99    54537.46
  -0.462  -0.217   0.871   1.010    30198.67    12251.74   -41966.30    53134.12
  -0.468  -0.219   0.879   1.020    29476.61    12000.43   -40835.20    51772.53
  -0.473  -0.222   0.887   1.030    28775.61    11754.08   -39738.74    50451.58
  -0.479  -0.224   0.895   1.040    28095.04    11512.76   -38675.98    49170.17
  -0.485  -0.226   0.903   1.050    27434.26    11276.51   -37645.93    47927.18
  -0.490  -0.229   0.911   1.059    26792.69    11045.35   -36647.66    46721.50
  -0.496  -0.231   0.919   1.069    26169.72    10819.29   -35680.19    45552.03
  -0.502  -0.233   0.926   1.079    25564.78    10598.31   -34742.61    44417.69
  -0.508  -0.236   0.934   1.089    24976.86    10382.58   -33834.18    43317.36
  -0.514  -0.238   0.942   1.099    24405.43    10172.07   -32954.00    42250.00
  -0.519  -0.241   0.950   1.109    23850.44     9966.47   -32100.94    41214.62
  -0.525  -0.243   0.958   1.119    23311.37     9765.72   -31274.13    40210.20
  -0.531  -0.245   0.965   1.129    22787.71     9569.74   -30472.71    39235.77
  -0.537  -0.248   0.973   1.139    22278.95     9378.44   -29695.86    38290.35
  -0.543  -0.250   0.981   1.149    21784.63     9191.73   -28942.78    37373.02
  -0.548  -0.253   0.989   1.159    21304.27     9009.53   -28212.66    36482.85
  -0.554  -0.255   0.996   1.168    20837.43     8831.74   -27504.76    35618.96
  -0.560  -0.258   1.004   1.178    20383.67     8658.26   -26818.34    34780.49
  -0.566  -0.260   1.012   1.188    19942.56     8489.00   -26152.67    33966.61
  -0.572  -0.263   1.020   1.198    19513.69     8323.85   -25507.06    33176.51
  -0.578  -0.265   1.027   1.208    19096.68     8162.73   -24880.85    32409.41
  -0.584  -0.268   1.035   1.218    18691.14     8005.53   -24273.37    31664.55
  -0.589  -0.270   1.043   1.228    18296.70     7852.16   -23683.99    30941.19
  -0.595  -0.273   1.050   1.238    17913.01     7702.51   -23112.12    30238.63
  -0.601  -0.275   1.058   1.248    17539.71     7556.50   -22557.16    29556.18
  -0.607  -0.278   1.065   1.258    17176.49     7414.03   -22018.55    28893.18
  -0.613  -0.281   1.073   1.267    16823.01     7275.00   -21495.73    28248.99
  -0.619  -0.283   1.081   1.277    16478.96     7139.33   -20988.18    27623.00
  -0.625  -0.286   1.088   1.287    16144.06     7006.93   -20495.39    27014.60
  -0.631  -0.288   1.096   1.297    15818.00     6877.71   -20016.86    26423.23
  -0.637  -0.291   1.103   1.307    15500.52     6751.59   -19552.12    25848.32
  -0.643  -0.294   1.111   1.317    15191.33     6628.47   -19100.71    25289.34
  -0.649  -0.296   1.119   1.327    14890.19     6508.29   -18662.19    24745.77
  -0.655  -0.299   1.126   1.337    14596.84     6390.96   -18236.14    24217.12
  -0.661  -0.301   1.134   1.347    14311.04     6276.40   -17822.13    23702.89
  -0.667  -0.304   1.141   1.356    14032.55     6164.53   -17419.78    23202.64
  -0.673  -0.307   1.149   1.366    13761.15     6055.29   -17028.70    22715.91
  -0.679  -0.309   1.156   1.376    13496.63     5948.61   -16648.52    22242.26
  -0.685  -0.312   1.164   1.386    13238.76     5844.40   -16278.89    21781.28
  -0.692  -0.315   1.171   1.396    12987.36     5742.61   -15919.47    21332.57
  -0.698  -0.318   1.179   1.406    12742.22     5643.16   -15569.92    20895.74
  -0.704  -0.320   1.186   1.416    12503.16     5546.00   -15229.93    20470.41
  -0.710  -0.323   1.193   1.426    12269.98     5451.07   -14899.19    20056.23
  -0.716  -0.326   1.201   1.435    12042.53     5358.29   -14577.40    19652.85
  -0.722  -0.328   1.208   1.445    11820.62     5267.62   -14264.29    19259.92
  -0.728  -0.331   1.216   1.455    11604.09     5178.99   -13959.56    18877.13
  -0.734  -0.334   1.223   1.465    11392.78     5092.35   -13662.97    18504.16
  -0.741  -0.337   1.230   1.475    11186.54     5007.65   -13374.24    18140.71
  -0.747  -0.339   1.238   1.485    10985.22     4924.83   -13093.14    17786.49
  -0.753  -0.342   1.245   1.495    10788.68     4843.84   -12819.43    17441.22
  -0.759  -0.345   1.252   1.505    10596.78     4764.64   -12552.87    17104.62
  -0.765  -0.348   1.260   1.514    10409.38     4687.18   -12293.24    16776.43
  -0.771  -0.351   1.267   1.524    10226.36     4611.41   -12040.34    16456.41
  -0.778  -0.353   1.274   1.534    10047.59     4537.28   -11793.95    16144.29
  -0.784  -0.356   1.282   1.544     9872.95     4464.75   -11553.88    15839.86
  -0.790  -0.359   1.289   1.554     9702.32     4393.78   -11319.92    15542.88
  -0.796  -0.362   1.296   1.564     9535.60     4324.34   -11091.91    15253.13
  -0.803  -0.365   1.304   1.574     9372.66     4256.36   -10869.65    14970.39
  -0.809  -0.368   1.311   1.584     9213.41     4189.83   -10652.97    14694.47
  -0.815  -0.370   1.318   1.593     9057.74     4124.71   -10441.71    14425.16
  -0.821  -0.373   1.325   1.603     8905.55     4060.95   -10235.71    14162.27
  -0.828  -0.376   1.333   1.613     8756.76     3998.51   -10034.80    13905.62
  -0.834  -0.379   1.340   1.623     8611.25     3937.38    -9838.85    13655.02
  -0.840  -0.382   1.347   1.633     8468.95     3877.51    -9647.69    13410.30
  -0.847  -0.385   1.354   1.643     8329.77     3818.87    -9461.20    13171.31
  -0.853  -0.388   1.361   1.653     8193.63     3761.43    -9279.24    12937.86
  -0.859  -0.391   1.368   1.662     8060.44     3705.16    -9101.67    12709.81
  -0.866  -0.393   1.376   1.672     7930.12     3650.03    -8928.37    12487.00
  -0.872  -0.396   1.383   1.682     7802.60     3596.01    -8759.21    12269.29
  -0.878  -0.399   1.390   1.692     7677.80     3543.07    -8594.08    12056.54
  -0.885  -0.402   1.397   1.702     7555.65     3491.20    -8432.86    11848.61
  -0.891  -0.405   1.404   1.712     7436.09     3440.35    -8275.45    11645.36
  -0.898  -0.408   1.411   1.722     7319.03     3390.50    -8121.72    11446.67
  -0.904  -0.411   1.418   1.731     7204.43     3341.64    -7971.59    11252.40
  -0.910  -0.414   1.425   1.741     7092.22     3293.73    -7824.94    11062.46
  -0.917  -0.417   1.432   1.751     6982.33     3246.76    -7681.69    10876.70
  -0.923  -0.420   1.440   1.761     6874.70     3200.69    -7541.73    10695.03
  -0.930  -0.423   1.447   1.771     6769.28     3155.52    -7404.98    10517.33
  -0.936  -0.426   1.454   1.781     6666.02     3111.21    -7271.35    10343.49
  -0.943  -0.429   1.461   1.791     6564.85     3067.74    -7140.75    10173.42
  -0.949  -0.432   1.468   1.800     6465.72     3025.10    -7013.10    10007.01
  -0.955  -0.435   1.475   1.810     6368.59     2983.27    -6888.32     9844.17
  -0.962  -0.438   1.482   1.820     6273.40     2942.23    -6766.33     9684.81
  -0.968  -0.441   1.489   1.830     6180.10     2901.95    -6647.06     9528.82
  -0.975  -0.444   1.496   1.840     6088.66     2862.43    -6530.44     9376.13
  -0.981  -0.447   1.503   1.850     5999.02     2823.64    -6416.38     9226.65
  -0.988  -0.450   1.510   1.859     5911.13     2785.56    -6304.84     9080.30
  -0.994  -0.453   1.516   1.869     5824.97     2748.18    -6195.73     8936.99
  -1.001  -0.457   1.523   1.879     5740.47     2711.49    -6089.00     8796.66
  -1.007  -0.460   1.530   1.889     5657.62     2675.47    -5984.59     8659.21
  -1.014  -0.463   1.537   1.899     5576.35     2640.09    -5882.42     8524.59
  -1.021  -0.466   1.544   1.909     5496.65     2605.36    -5782.45     8392.72
  -1.027  -0.469   1.551   1.918     5418.46     2571.25    -5684.62     8263.53
  -1.034  -0.472   1.558   1.928     5341.76     2537.74    -5588.87     8136.95
  -1.040  -0.475   1.565   1.938     5266.51     2504.84    -5495.15     8012.92
