 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.291   0.186   0.938   1.000    14969.69   -17138.60   -49582.29    54554.80
  -0.294   0.189   0.947   1.010    14630.32   -16774.95   -48265.07    53150.37
  -0.297   0.192   0.957   1.020    14298.60   -16420.93   -46988.02    51787.75
  -0.300   0.195   0.966   1.030    13974.56   -16076.27   -45750.02    50465.82
  -0.302   0.199   0.975   1.040    13658.21   -15740.72   -44549.95    49183.48
  -0.305   0.202   0.984   1.050    13349.51   -15414.01   -43386.70    47939.61
  -0.308   0.205   0.993   1.059    13048.40   -15095.90   -42259.15    46733.10
  -0.311   0.208   1.002   1.069    12754.79   -14786.14   -41166.21    45562.84
  -0.313   0.211   1.011   1.079    12468.61   -14484.49   -40106.82    44427.74
  -0.316   0.215   1.020   1.089    12189.71   -14190.71   -39079.91    43326.72
  -0.319   0.218   1.029   1.099    11917.99   -13904.57   -38084.46    42258.75
  -0.322   0.221   1.038   1.109    11653.31   -13625.86   -37119.44    41222.77
  -0.325   0.225   1.047   1.119    11395.53   -13354.35   -36183.88    40217.78
  -0.328   0.228   1.056   1.129    11144.49   -13089.83   -35276.81    39242.79
  -0.330   0.231   1.065   1.139    10900.05   -12832.09   -34397.29    38296.83
  -0.333   0.235   1.074   1.149    10662.06   -12580.94   -33544.42    37378.97
  -0.336   0.238   1.083   1.159    10430.35   -12336.18   -32717.31    36488.30
  -0.339   0.241   1.092   1.168    10204.77   -12097.62   -31915.11    35623.92
  -0.342   0.245   1.101   1.178     9985.16   -11865.08   -31136.98    34784.99
  -0.345   0.248   1.110   1.188     9771.36   -11638.39   -30382.13    33970.65
  -0.348   0.252   1.119   1.198     9563.23   -11417.36   -29649.76    33180.11
  -0.351   0.255   1.128   1.208     9360.60   -11201.83   -28939.14    32412.59
  -0.353   0.259   1.137   1.218     9163.33   -10991.64   -28249.53    31667.31
  -0.356   0.262   1.145   1.228     8971.27   -10786.64   -27580.22    30943.56
  -0.359   0.266   1.154   1.238     8784.26   -10586.67   -26930.54    30240.61
  -0.362   0.269   1.163   1.248     8602.18   -10391.58   -26299.83    29557.80
  -0.365   0.273   1.172   1.258     8424.87   -10201.23   -25687.45    28894.44
  -0.368   0.276   1.181   1.267     8252.19   -10015.49   -25092.80    28249.91
  -0.371   0.280   1.190   1.277     8084.03    -9834.21   -24515.29    27623.59
  -0.374   0.283   1.199   1.287     7920.24    -9657.28   -23954.33    27014.87
  -0.377   0.287   1.208   1.297     7760.69    -9484.56   -23409.39    26423.19
  -0.380   0.290   1.216   1.307     7605.27    -9315.93   -22879.93    25847.98
  -0.383   0.294   1.225   1.317     7453.84    -9151.28   -22365.45    25288.71
  -0.386   0.298   1.234   1.327     7306.31    -8990.50   -21865.44    24744.87
  -0.389   0.301   1.243   1.337     7162.54    -8833.46   -21379.44    24215.95
  -0.391   0.305   1.252   1.347     7022.43    -8680.07   -20906.98    23701.47
  -0.394   0.309   1.261   1.356     6885.87    -8530.23   -20447.62    23200.97
  -0.397   0.312   1.269   1.366     6752.77    -8383.82   -20000.94    22714.00
  -0.400   0.316   1.278   1.376     6623.00    -8240.77   -19566.52    22240.13
  -0.403   0.320   1.287   1.386     6496.49    -8100.97   -19143.97    21778.93
  -0.406   0.323   1.296   1.396     6373.12    -7964.33   -18732.91    21330.01
  -0.409   0.327   1.305   1.406     6252.82    -7830.76   -18332.97    20892.98
  -0.412   0.331   1.313   1.416     6135.49    -7700.19   -17943.79    20467.46
  -0.415   0.335   1.322   1.426     6021.04    -7572.52   -17565.03    20053.09
  -0.418   0.338   1.331   1.436     5909.39    -7447.68   -17196.36    19649.52
  -0.421   0.342   1.340   1.445     5800.46    -7325.60   -16837.46    19256.43
  -0.424   0.346   1.348   1.455     5694.17    -7206.19   -16488.03    18873.47
  -0.427   0.350   1.357   1.465     5590.44    -7089.38   -16147.76    18500.34
  -0.430   0.354   1.366   1.475     5489.20    -6975.11   -15816.38    18136.74
