 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.456  -0.215   0.864   1.000    30959.23    12536.38   -43159.26    54574.32
  -0.462  -0.217   0.871   1.010    30213.05    12280.03   -41993.07    53169.97
  -0.468  -0.219   0.879   1.020    29488.71    12028.57   -40862.43    51807.42
  -0.473  -0.222   0.887   1.030    28785.57    11782.09   -39766.40    50485.57
  -0.479  -0.224   0.895   1.040    28102.98    11540.66   -38704.02    49203.31
  -0.485  -0.226   0.903   1.050    27440.33    11304.33   -37674.33    47959.51
  -0.490  -0.229   0.911   1.059    26796.94    11073.13   -36676.39    46753.06
  -0.496  -0.231   0.919   1.069    26172.24    10847.07   -35709.26    45582.85
  -0.502  -0.234   0.926   1.079    25565.67    10626.09   -34771.97    44447.80
  -0.508  -0.236   0.934   1.089    24976.66    10410.14   -33863.61    43346.84
  -0.513  -0.238   0.942   1.099    24404.66    10199.18   -32983.27    42278.92
  -0.519  -0.241   0.950   1.109    23849.13     9993.14   -32130.05    41242.99
  -0.525  -0.243   0.958   1.119    23309.54     9791.96   -31303.08    40238.05
  -0.531  -0.246   0.965   1.129    22785.38     9595.55   -30501.52    39263.10
  -0.537  -0.248   0.973   1.139    22276.15     9403.83   -29724.54    38317.19
  -0.542  -0.251   0.981   1.149    21781.37     9216.71   -28971.31    37399.37
  -0.548  -0.253   0.989   1.159    21300.58     9034.11   -28241.08    36508.74
  -0.554  -0.255   0.996   1.168    20833.32     8855.92   -27533.05    35644.41
  -0.560  -0.258   1.004   1.178    20379.16     8682.05   -26846.51    34805.51
  -0.566  -0.260   1.012   1.188    19937.67     8512.40   -26180.73    33991.21
  -0.572  -0.263   1.020   1.198    19508.45     8346.88   -25535.02    33200.71
  -0.578  -0.265   1.027   1.208    19091.09     8185.38   -24908.69    32433.21
  -0.584  -0.268   1.035   1.218    18685.22     8027.81   -24301.11    31687.97
  -0.589  -0.271   1.043   1.228    18290.47     7874.07   -23711.64    30964.25
  -0.595  -0.273   1.050   1.238    17906.48     7724.07   -23139.68    30261.33
  -0.601  -0.276   1.058   1.248    17532.91     7577.71   -22584.63    29578.54
  -0.607  -0.278   1.065   1.258    17169.42     7434.89   -22045.93    28915.21
  -0.613  -0.281   1.073   1.267    16815.68     7295.53   -21523.03    28270.71
  -0.619  -0.283   1.081   1.277    16471.40     7159.52   -21015.40    27644.40
  -0.625  -0.286   1.088   1.287    16136.28     7026.79   -20522.53    27035.71
  -0.631  -0.289   1.096   1.297    15810.01     6897.25   -20043.93    26444.04
  -0.637  -0.291   1.103   1.307    15492.33     6770.81   -19579.11    25868.86
  -0.643  -0.294   1.111   1.317    15182.96     6647.38   -19127.63    25309.61
  -0.649  -0.296   1.119   1.327    14881.64     6526.89   -18689.04    24765.78
  -0.655  -0.299   1.126   1.337    14588.12     6409.25   -18262.92    24236.87
  -0.661  -0.302   1.134   1.347    14302.17     6294.39   -17848.85    23722.41
  -0.667  -0.304   1.141   1.356    14023.54     6182.23   -17446.43    23221.92
  -0.673  -0.307   1.149   1.366    13752.01     6072.70   -17055.29    22734.96
  -0.679  -0.310   1.156   1.376    13487.36     5965.73   -16675.05    22261.09
  -0.685  -0.312   1.164   1.386    13229.39     5861.25   -16305.37    21799.91
  -0.691  -0.315   1.171   1.396    12977.88     5759.18   -15945.89    21350.99
  -0.697  -0.318   1.179   1.406    12732.65     5659.46   -15596.29    20913.97
  -0.703  -0.321   1.186   1.416    12493.50     5562.04   -15256.24    20488.45
  -0.710  -0.323   1.194   1.426    12260.25     5466.84   -14925.45    20074.09
  -0.716  -0.326   1.201   1.436    12032.72     5373.80   -14603.61    19670.53
  -0.722  -0.329   1.208   1.445    11810.75     5282.87   -14290.45    19277.43
  -0.728  -0.331   1.216   1.455    11594.16     5194.00   -13985.67    18894.48
  -0.734  -0.334   1.223   1.465    11382.81     5107.11   -13689.03    18521.35
  -0.740  -0.337   1.231   1.475    11176.53     5022.17   -13400.26    18157.75
  -0.746  -0.340   1.238   1.485    10975.17     4939.11   -13119.11    17803.38
  -0.753  -0.343   1.245   1.495    10778.61     4857.90   -12845.35    17457.96
  -0.759  -0.345   1.253   1.505    10586.68     4778.46   -12578.75    17121.23
  -0.765  -0.348   1.260   1.515    10399.27     4700.78   -12319.08    16792.91
  -0.771  -0.351   1.267   1.524    10216.24     4624.78   -12066.13    16472.75
  -0.777  -0.354   1.275   1.534    10037.47     4550.43   -11819.70    16160.52
  -0.784  -0.357   1.282   1.544     9862.83     4477.69   -11579.58    15855.97
  -0.790  -0.359   1.289   1.554     9692.21     4406.51   -11345.59    15558.87
  -0.796  -0.362   1.297   1.564     9525.49     4336.86   -11117.53    15269.01
  -0.802  -0.365   1.304   1.574     9362.57     4268.68   -10895.23    14986.17
  -0.808  -0.368   1.311   1.584     9203.34     4201.95   -10678.51    14710.15
  -0.815  -0.371   1.318   1.593     9047.69     4136.63   -10467.21    14440.74
  -0.821  -0.374   1.326   1.603     8895.54     4072.67   -10261.17    14177.76
  -0.827  -0.377   1.333   1.613     8746.77     4010.05   -10060.22    13921.01
  -0.834  -0.379   1.340   1.623     8601.31     3948.73    -9864.23    13670.33
  -0.840  -0.382   1.347   1.633     8459.05     3888.67    -9673.04    13425.53
  -0.846  -0.385   1.354   1.643     8319.92     3829.85    -9486.51    13186.45
  -0.853  -0.388   1.362   1.653     8183.82     3772.23    -9304.50    12952.93
  -0.859  -0.391   1.369   1.663     8050.68     3715.78    -9126.90    12724.81
  -0.865  -0.394   1.376   1.672     7920.41     3660.48    -8953.56    12501.93
  -0.872  -0.397   1.383   1.682     7792.95     3606.29    -8784.36    12284.15
  -0.878  -0.400   1.390   1.692     7668.21     3553.19    -8619.20    12071.34
  -0.884  -0.403   1.397   1.702     7546.13     3501.15    -8457.94    11863.34
  -0.891  -0.406   1.405   1.712     7426.63     3450.14    -8300.48    11660.03
  -0.897  -0.409   1.412   1.722     7309.65     3400.13    -8146.72    11461.28
  -0.903  -0.412   1.419   1.732     7195.12     3351.11    -7996.55    11266.97
  -0.910  -0.415   1.426   1.741     7082.98     3303.05    -7849.87    11076.96
  -0.916  -0.418   1.433   1.751     6973.16     3255.93    -7706.58    10891.16
  -0.923  -0.421   1.440   1.761     6865.61     3209.71    -7566.58    10709.44
  -0.929  -0.424   1.447   1.771     6760.28     3164.39    -7429.79    10531.69
  -0.935  -0.427   1.454   1.781     6657.09     3119.94    -7296.12    10357.81
  -0.942  -0.430   1.461   1.791     6556.01     3076.33    -7165.49    10187.70
  -0.948  -0.433   1.468   1.800     6456.97     3033.55    -7037.80    10021.25
  -0.955  -0.436   1.475   1.810     6359.92     2991.59    -6912.98     9858.37
  -0.961  -0.439   1.482   1.820     6264.82     2950.41    -6790.96     9698.97
  -0.968  -0.442   1.489   1.830     6171.62     2910.00    -6671.65     9542.95
  -0.974  -0.445   1.496   1.840     6080.27     2870.34    -6554.99     9390.23
  -0.981  -0.448   1.503   1.850     5990.72     2831.42    -6440.90     9240.72
  -0.987  -0.451   1.510   1.860     5902.93     2793.22    -6329.32     9094.34
  -0.994  -0.454   1.517   1.869     5816.86     2755.72    -6220.17     8951.00
  -1.000  -0.457   1.524   1.879     5732.47     2718.91    -6113.41     8810.64
  -1.007  -0.460   1.531   1.889     5649.71     2682.76    -6008.95     8673.17
  -1.013  -0.463   1.538   1.899     5568.55     2647.27    -5906.75     8538.53
  -1.020  -0.466   1.545   1.909     5488.94     2612.42    -5806.74     8406.63
