 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.307   0.248   0.919   1.000    15436.33   -21733.52   -46983.31    54019.05
  -0.310   0.252   0.927   1.010    15083.46   -21280.30   -45704.80    52624.05
  -0.313   0.256   0.936   1.020    14738.64   -20838.42   -44465.99    51270.76
  -0.316   0.260   0.945   1.030    14401.88   -20407.60   -43265.75    49958.08
  -0.319   0.265   0.953   1.039    14073.18   -19987.59   -42102.93    48684.86
  -0.321   0.269   0.962   1.049    13752.48   -19578.13   -40976.41    47449.97
  -0.324   0.273   0.971   1.059    13439.72   -19178.96   -39885.06    46252.31
  -0.327   0.277   0.979   1.069    13134.79   -18789.81   -38827.78    45090.76
  -0.330   0.281   0.988   1.079    12837.60   -18410.44   -37803.49    43964.21
  -0.333   0.285   0.997   1.089    12548.01   -18040.59   -36811.13    42871.60
  -0.336   0.290   1.005   1.099    12265.89   -17680.01   -35849.65    41811.87
  -0.339   0.294   1.014   1.108    11991.10   -17328.46   -34918.05    40783.97
  -0.342   0.298   1.022   1.118    11723.48   -16985.70   -34015.33    39786.89
  -0.345   0.302   1.031   1.128    11462.88   -16651.48   -33140.54    38819.65
  -0.348   0.307   1.039   1.138    11209.15   -16325.59   -32292.75    37881.28
  -0.351   0.311   1.048   1.148    10962.11   -16007.79   -31471.03    36970.84
  -0.354   0.315   1.056   1.158    10721.61   -15697.85   -30674.53    36087.42
  -0.357   0.320   1.065   1.168    10487.48   -15395.57   -29902.38    35230.14
  -0.360   0.324   1.073   1.177    10259.55   -15100.74   -29153.75    34398.14
  -0.363   0.328   1.082   1.187    10037.67   -14813.13   -28427.86    33590.58
  -0.366   0.333   1.090   1.197     9821.67   -14532.57   -27723.93    32806.66
  -0.369   0.337   1.099   1.207     9611.40   -14258.84   -27041.21    32045.60
  -0.372   0.342   1.107   1.217     9406.69   -13991.75   -26378.98    31306.64
  -0.375   0.346   1.116   1.227     9207.38   -13731.13   -25736.55    30589.05
  -0.378   0.351   1.124   1.236     9013.34   -13476.79   -25113.25    29892.13
  -0.381   0.355   1.132   1.246     8824.41   -13228.56   -24508.42    29215.19
  -0.384   0.360   1.141   1.256     8640.44   -12986.26   -23921.44    28557.58
  -0.387   0.364   1.149   1.266     8461.28   -12749.73   -23351.71    27918.65
  -0.390   0.369   1.157   1.276     8286.82   -12518.81   -22798.64    27297.80
  -0.393   0.374   1.166   1.286     8116.89   -12293.35   -22261.68    26694.43
  -0.396   0.378   1.174   1.295     7951.38   -12073.18   -21740.28    26107.97
  -0.399   0.383   1.182   1.305     7790.16   -11858.16   -21233.93    25537.86
  -0.402   0.387   1.191   1.315     7633.09   -11648.16   -20742.12    24983.58
  -0.405   0.392   1.199   1.325     7480.06   -11443.03   -20264.36    24444.60
  -0.408   0.397   1.207   1.335     7330.95   -11242.63   -19800.18    23920.43
  -0.411   0.402   1.216   1.345     7185.65   -11046.84   -19349.15    23410.59
  -0.414   0.406   1.224   1.354     7044.03   -10855.53   -18910.82    22914.63
  -0.417   0.411   1.232   1.364     6906.00   -10668.58   -18484.78    22432.09
  -0.420   0.416   1.240   1.374     6771.45   -10485.86   -18070.62    21962.54
  -0.423   0.421   1.249   1.384     6640.28   -10307.27   -17667.96    21505.58
  -0.427   0.425   1.257   1.394     6512.38   -10132.68   -17276.42    21060.80
  -0.430   0.430   1.265   1.403     6387.67    -9962.00   -16895.64    20627.81
  -0.433   0.435   1.273   1.413     6266.04    -9795.12   -16525.28    20206.24
  -0.436   0.440   1.281   1.423     6147.41    -9631.92   -16164.99    19795.74
  -0.439   0.445   1.289   1.433     6031.70    -9472.33   -15814.45    19395.96
  -0.442   0.450   1.298   1.443     5918.81    -9316.23   -15473.37    19006.56
  -0.445   0.455   1.306   1.453     5808.66    -9163.54   -15141.42    18627.23
  -0.448   0.459   1.314   1.462     5701.19    -9014.16   -14818.33    18257.64
  -0.451   0.464   1.322   1.472     5596.30    -8868.01   -14503.81    17897.50
  -0.455   0.469   1.330   1.482     5493.93    -8725.00   -14197.60    17546.53
  -0.458   0.474   1.338   1.492     5394.00    -8585.05   -13899.43    17204.43
  -0.461   0.479   1.346   1.501     5296.44    -8448.09   -13609.06    16870.95
  -0.464   0.484   1.354   1.511     5201.19    -8314.02   -13326.24    16545.82
  -0.467   0.489   1.362   1.521     5108.17    -8182.79   -13050.75    16228.78
  -0.470   0.494   1.370   1.531     5017.34    -8054.30   -12782.34    15919.60
  -0.473   0.500   1.378   1.541     4928.62    -7928.50   -12520.82    15618.05
  -0.477   0.505   1.386   1.550     4841.96    -7805.32   -12265.97    15323.89
  -0.480   0.510   1.394   1.560     4757.29    -7684.68   -12017.58    15036.90
  -0.483   0.515   1.402   1.570     4674.57    -7566.53   -11775.46    14756.88
  -0.486   0.520   1.410   1.580     4593.74    -7450.79   -11539.43    14483.62
  -0.489   0.525   1.418   1.590     4514.74    -7337.42   -11309.29    14216.92
  -0.492   0.530   1.426   1.599     4437.53    -7226.35   -11084.88    13956.59
  -0.496   0.535   1.434   1.609     4362.06    -7117.52   -10866.03    13702.45
  -0.499   0.541   1.442   1.619     4288.28    -7010.87   -10652.57    13454.32
  -0.502   0.546   1.450   1.629     4216.14    -6906.36   -10444.33    13212.03
  -0.505   0.551   1.458   1.638     4145.60    -6803.93   -10241.18    12975.41
  -0.508   0.556   1.466   1.648     4076.61    -6703.52   -10042.96    12744.30
  -0.512   0.562   1.474   1.658     4009.14    -6605.10    -9849.53    12518.54
  -0.515   0.567   1.482   1.668     3943.15    -6508.61    -9660.75    12297.99
  -0.518   0.572   1.489   1.678     3878.59    -6414.00    -9476.48    12082.49
  -0.521   0.578   1.497   1.687     3815.42    -6321.23    -9296.60    11871.91
  -0.524   0.583   1.505   1.697     3753.61    -6230.25    -9120.99    11666.11
  -0.528   0.588   1.513   1.707     3693.13    -6141.03    -8949.51    11464.96
  -0.531   0.594   1.521   1.717     3633.94    -6053.51    -8782.06    11268.33
  -0.534   0.599   1.528   1.726     3576.00    -5967.67    -8618.52    11076.09
  -0.537   0.604   1.536   1.736     3519.29    -5883.45    -8458.79    10888.13
  -0.541   0.610   1.544   1.746     3463.76    -5800.83    -8302.75    10704.33
  -0.544   0.615   1.552   1.756     3409.40    -5719.75    -8150.30    10524.59
  -0.547   0.621   1.560   1.765     3356.16    -5640.20    -8001.34    10348.78
  -0.550   0.626   1.567   1.775     3304.03    -5562.13    -7855.79    10176.80
  -0.553   0.632   1.575   1.785     3252.97    -5485.50    -7713.54    10008.56
  -0.557   0.637   1.583   1.795     3202.96    -5410.29    -7574.50     9843.95
  -0.560   0.643   1.590   1.804     3153.97    -5336.47    -7438.60     9682.88
  -0.563   0.648   1.598   1.814     3105.97    -5263.99    -7305.73     9525.25
  -0.567   0.654   1.606   1.824     3058.95    -5192.83    -7175.83     9370.98
