 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.310   0.328   0.892   1.000    14994.27   -27146.52   -43195.73    53175.49
  -0.313   0.333   0.901   1.010    14637.23   -26586.38   -41970.88    51794.19
  -0.316   0.338   0.909   1.020    14289.11   -26039.33   -40785.20    50454.51
  -0.319   0.343   0.917   1.029    13949.84   -25505.17   -39637.52    49155.31
  -0.321   0.348   0.925   1.039    13619.33   -24983.69   -38526.65    47895.44
  -0.324   0.354   0.933   1.049    13297.43   -24474.66   -37451.44    46673.77
  -0.327   0.359   0.941   1.059    12984.03   -23977.83   -36410.75    45489.16
  -0.330   0.364   0.949   1.069    12678.95   -23492.95   -35403.45    44340.49
  -0.333   0.369   0.957   1.078    12382.05   -23019.78   -34428.44    43226.64
  -0.336   0.375   0.965   1.088    12093.14   -22558.06   -33484.64    42146.55
  -0.339   0.380   0.973   1.098    11812.04   -22107.54   -32571.02    41099.13
  -0.342   0.385   0.981   1.108    11538.59   -21667.94   -31686.54    40083.36
  -0.344   0.391   0.988   1.117    11272.58   -21239.02   -30830.21    39098.20
  -0.347   0.396   0.996   1.127    11013.84   -20820.51   -30001.08    38142.67
  -0.350   0.402   1.004   1.137    10762.18   -20412.16   -29198.20    37215.79
  -0.353   0.407   1.012   1.147    10517.40   -20013.72   -28420.66    36316.64
  -0.356   0.413   1.020   1.156    10279.33   -19624.93   -27667.60    35444.30
  -0.359   0.418   1.028   1.166    10047.78   -19245.55   -26938.16    34597.89
  -0.362   0.424   1.035   1.176     9822.56   -18875.34   -26231.53    33776.53
  -0.365   0.430   1.043   1.186     9603.51   -18514.05   -25546.91    32979.41
  -0.368   0.435   1.051   1.195     9390.43   -18161.46   -24883.53    32205.72
  -0.371   0.441   1.059   1.205     9183.16   -17817.33   -24240.66    31454.69
  -0.373   0.447   1.066   1.215     8981.54   -17481.44   -23617.58    30725.54
  -0.376   0.452   1.074   1.225     8785.39   -17153.58   -23013.61    30017.57
  -0.379   0.458   1.082   1.234     8594.55   -16833.52   -22428.09    29330.07
  -0.382   0.464   1.089   1.244     8408.86   -16521.06   -21860.38    28662.35
  -0.385   0.469   1.097   1.254     8228.18   -16215.99   -21309.85    28013.76
  -0.388   0.475   1.105   1.264     8052.34   -15918.11   -20775.93    27383.68
  -0.391   0.481   1.112   1.273     7881.21   -15627.24   -20258.03    26771.48
  -0.394   0.487   1.120   1.283     7714.65   -15343.18   -19755.61    26176.57
  -0.397   0.493   1.127   1.293     7552.51   -15065.74   -19268.13    25598.40
  -0.400   0.499   1.135   1.302     7394.67   -14794.76   -18795.09    25036.40
  -0.403   0.505   1.142   1.312     7240.99   -14530.04   -18335.99    24490.05
