# ts_version: 01
# Year: 2015
# Day: 311
# Hour: 0
# Minute: 00
# Second: 00
# SW dynamic pressure: 2.3
# SW velocity: 721.0
# IMF By: -2.6
# IMF Bz: -3.7
# Dst: -62.0
# DIR: 1
# Geographic Geocentric Latitude: 74.443
# Longitude: 19.016
# Xgsm: 1.
# Ygsm: 1.
# Zgsm: 1.
 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.504  -0.246   0.828   1.000    34070.82    14372.80   -39376.64    54017.76
  -0.511  -0.248   0.835   1.010    33258.53    14079.85   -38273.13    52623.23
  -0.517  -0.251   0.842   1.020    32469.41    13792.57   -37204.25    51270.40
  -0.523  -0.254   0.850   1.030    31702.82    13511.04   -36169.02    49958.13
  -0.530  -0.256   0.857   1.039    30958.12    13235.34   -35166.46    48685.31
  -0.536  -0.259   0.864   1.049    30234.68    12965.48   -34195.61    47450.81
  -0.542  -0.262   0.871   1.059    29531.93    12701.41   -33255.49    46253.52
  -0.549  -0.265   0.878   1.069    28849.28    12443.11   -32345.12    45092.33
  -0.555  -0.267   0.886   1.079    28186.05    12190.60   -31463.59    43966.14
  -0.562  -0.270   0.893   1.089    27541.67    11943.82   -30609.98    42873.87
  -0.568  -0.273   0.900   1.099    26915.62    11702.65   -29783.35    41814.47
  -0.575  -0.276   0.907   1.108    26307.27    11467.08   -28982.84    40786.90
  -0.581  -0.279   0.914   1.118    25716.06    11237.04   -28207.59    39790.14
  -0.587  -0.281   0.921   1.128    25141.48    11012.42   -27456.76    38823.20
  -0.594  -0.284   0.928   1.138    24582.99    10793.14   -26729.53    37885.13
  -0.600  -0.287   0.935   1.148    24040.10    10579.08   -26025.09    36974.97
  -0.607  -0.290   0.942   1.158    23512.32    10370.15   -25342.68    36091.83
  -0.613  -0.293   0.949   1.168    22999.17    10166.23   -24681.54    35234.82
  -0.620  -0.296   0.956   1.177    22500.20     9967.22   -24040.95    34403.08
  -0.627  -0.299   0.963   1.187    22014.95     9773.01   -23420.21    33595.77
  -0.633  -0.302   0.970   1.197    21543.00     9583.49   -22818.63    32812.10
  -0.640  -0.304   0.977   1.207    21083.92     9398.54   -22235.56    32051.28
  -0.646  -0.307   0.984   1.217    20637.31     9218.06   -21670.36    31312.55
  -0.653  -0.310   0.991   1.227    20202.79     9041.93   -21122.42    30595.19
  -0.659  -0.313   0.998   1.237    19779.96     8870.05   -20591.15    29898.49
  -0.666  -0.316   1.005   1.246    19368.46     8702.30   -20075.97    29221.77
  -0.673  -0.319   1.012   1.256    18967.95     8538.59   -19576.33    28564.37
  -0.679  -0.322   1.019   1.266    18578.06     8378.81   -19091.70    27925.65
  -0.686  -0.325   1.025   1.276    18198.48     8222.86   -18621.57    27305.00
  -0.693  -0.328   1.032   1.286    17828.88     8070.64   -18165.44    26701.83
  -0.699  -0.331   1.039   1.296    17468.95     7922.04   -17722.84    26115.55
  -0.706  -0.334   1.046   1.305    17118.40     7776.97   -17293.31    25545.63
  -0.713  -0.337   1.053   1.315    16776.92     7635.34   -16876.40    24991.53
  -0.720  -0.340   1.059   1.325    16444.33     7496.99   -16471.66    24452.74
  -0.726  -0.344   1.066   1.335    16120.36     7361.80   -16078.67    23928.76
  -0.733  -0.347   1.073   1.345    15804.66     7229.78   -15697.07    23419.11
  -0.740  -0.350   1.079   1.354    15496.97     7100.85   -15326.48    22923.33
  -0.746  -0.353   1.086   1.364    15197.05     6974.93   -14966.54    22440.97
  -0.753  -0.356   1.093   1.374    14904.67     6851.92   -14616.88    21971.60
  -0.760  -0.359   1.099   1.384    14619.60     6731.76   -14277.17    21514.81
  -0.767  -0.362   1.106   1.394    14341.62     6614.37   -13947.08    21070.19
  -0.774  -0.365   1.113   1.404    14070.52     6499.67   -13626.28    20637.36
  -0.780  -0.368   1.119   1.413    13806.09     6387.59   -13314.49    20215.96
  -0.787  -0.372   1.126   1.423    13548.13     6278.05   -13011.39    19805.61
  -0.794  -0.375   1.132   1.433    13296.46     6171.00   -12716.71    19405.98
  -0.801  -0.378   1.139   1.443    13050.89     6066.36   -12430.18    19016.72
  -0.808  -0.381   1.145   1.453    12811.24     5964.07   -12151.52    18637.53
  -0.815  -0.384   1.152   1.462    12577.33     5864.06   -11880.50    18268.08
  -0.822  -0.388   1.158   1.472    12349.01     5766.27   -11616.85    17908.08
  -0.829  -0.391   1.165   1.482    12126.10     5670.65   -11360.36    17557.23
  -0.835  -0.394   1.171   1.492    11908.46     5577.14   -11110.78    17215.27
  -0.842  -0.397   1.178   1.502    11695.93     5485.68   -10867.90    16881.91
  -0.849  -0.401   1.184   1.511    11488.37     5396.22   -10631.51    16556.89
  -0.856  -0.404   1.191   1.521    11285.63     5308.70   -10401.41    16239.98
  -0.863  -0.407   1.197   1.531    11087.58     5223.07   -10177.39    15930.92
  -0.870  -0.410   1.203   1.541    10894.08     5139.28    -9959.28    15629.47
  -0.877  -0.414   1.210   1.551    10705.01     5057.29    -9746.87    15335.42
  -0.884  -0.417   1.216   1.560    10520.25     4977.05    -9540.01    15048.54
  -0.891  -0.420   1.222   1.570    10339.68     4898.51    -9338.52    14768.62
  -0.898  -0.424   1.229   1.580    10163.17     4821.63    -9142.23    14495.46
  -0.905  -0.427   1.235   1.590     9990.62     4746.36    -8950.98    14228.86
  -0.912  -0.430   1.241   1.599     9821.92     4672.67    -8764.63    13968.63
  -0.919  -0.434   1.248   1.609     9656.97     4600.51    -8583.02    13714.59
  -0.926  -0.437   1.254   1.619     9495.65     4529.85    -8406.02    13466.55
  -0.933  -0.440   1.260   1.629     9337.88     4460.64    -8233.47    13224.35
  -0.940  -0.444   1.266   1.639     9183.56     4392.85    -8065.26    12987.82
  -0.947  -0.447   1.273   1.648     9032.59     4326.44    -7901.25    12756.79
  -0.955  -0.451   1.279   1.658     8884.90     4261.39    -7741.32    12531.12
  -0.962  -0.454   1.285   1.668     8740.38     4197.65    -7585.35    12310.64
  -0.969  -0.457   1.291   1.678     8598.95     4135.19    -7433.22    12095.23
  -0.976  -0.461   1.297   1.687     8460.55     4073.98    -7284.81    11884.72
  -0.983  -0.464   1.303   1.697     8325.07     4013.99    -7140.03    11679.00
  -0.990  -0.468   1.309   1.707     8192.46     3955.19    -6998.77    11477.92
  -0.997  -0.471   1.316   1.717     8062.63     3897.55    -6860.92    11281.36
  -1.004  -0.475   1.322   1.726     7935.51     3841.04    -6726.39    11089.20
  -1.012  -0.478   1.328   1.736     7811.04     3785.64    -6595.08    10901.31
  -1.019  -0.481   1.334   1.746     7689.15     3731.31    -6466.90    10717.58
  -1.026  -0.485   1.340   1.756     7569.76     3678.03    -6341.77    10537.89
  -1.033  -0.488   1.346   1.765     7452.82     3625.78    -6219.59    10362.15
  -1.040  -0.492   1.352   1.775     7338.26     3574.53    -6100.29    10190.24
  -1.048  -0.495   1.358   1.785     7226.03     3524.26    -5983.78    10022.05
  -1.055  -0.499   1.364   1.795     7116.07     3474.95    -5869.99     9857.51
  -1.062  -0.503   1.370   1.804     7008.31     3426.56    -5758.83     9696.49
  -1.069  -0.506   1.376   1.814     6902.72     3379.09    -5650.25     9538.92
  -1.076  -0.510   1.381   1.824     6799.22     3332.50    -5544.16     9384.70
  -1.084  -0.513   1.387   1.834     6697.77     3286.78    -5440.51     9233.75
  -1.091  -0.517   1.393   1.843     6598.33     3241.91    -5339.21     9085.98
  -1.098  -0.520   1.399   1.853     6500.84     3197.87    -5240.22     8941.31
  -1.106  -0.524   1.405   1.863     6405.25     3154.63    -5143.46     8799.66
  -1.113  -0.527   1.411   1.873     6311.52     3112.19    -5048.88     8660.96
  -1.120  -0.531   1.417   1.882     6219.60     3070.52    -4956.42     8525.12
  -1.127  -0.535   1.422   1.892     6129.46     3029.60    -4866.02     8392.07
  -1.135  -0.538   1.428   1.902     6041.04     2989.42    -4777.63     8261.75
  -1.142  -0.542   1.434   1.912     5954.31     2949.96    -4691.19     8134.09
  -1.149  -0.546   1.440   1.921     5869.23     2911.21    -4606.66     8009.02
  -1.157  -0.549   1.445   1.931     5785.76     2873.14    -4523.98     7886.47
  -1.164  -0.553   1.451   1.941     5703.86     2835.75    -4443.11     7766.39
  -1.171  -0.557   1.457   1.950     5623.49     2799.02    -4364.00     7648.70
  -1.179  -0.560   1.463   1.960     5544.63     2762.93    -4286.60     7533.37
  -1.186  -0.564   1.468   1.970     5467.23     2727.47    -4210.86     7420.31
  -1.193  -0.568   1.474   1.980     5391.26     2692.63    -4136.76     7309.49
  -1.201  -0.571   1.480   1.989     5316.68     2658.39    -4064.24     7200.85
  -1.208  -0.575   1.485   1.999     5243.48     2624.74    -3993.26     7094.33
  -1.216  -0.579   1.491   2.009     5171.61     2591.67    -3923.79     6989.88
  -1.223  -0.582   1.496   2.018     5101.04     2559.16    -3855.79     6887.45
  -1.230  -0.586   1.502   2.028     5031.75     2527.20    -3789.21     6787.01
  -1.238  -0.590   1.508   2.038     4963.71     2495.79    -3724.03     6688.49
  -1.245  -0.593   1.513   2.048     4896.89     2464.90    -3660.22     6591.85
  -1.253  -0.597   1.519   2.057     4831.26     2434.53    -3597.72     6497.05
  -1.260  -0.601   1.524   2.067     4766.80     2404.67    -3536.53     6404.05
  -1.268  -0.605   1.530   2.077     4703.48     2375.31    -3476.59     6312.80
  -1.275  -0.609   1.535   2.086     4641.27     2346.43    -3417.88     6223.26
  -1.282  -0.612   1.541   2.096     4580.15     2318.02    -3360.38     6135.40
  -1.290  -0.616   1.546   2.106     4520.10     2290.08    -3304.05     6049.18
  -1.297  -0.620   1.552   2.116     4461.10     2262.60    -3248.86     5964.55
  -1.305  -0.624   1.557   2.125     4403.12     2235.57    -3194.78     5881.48
  -1.312  -0.627   1.563   2.135     4346.13     2208.97    -3141.80     5799.94
  -1.320  -0.631   1.568   2.145     4290.13     2182.80    -3089.88     5719.89
  -1.327  -0.635   1.573   2.154     4235.08     2157.06    -3038.99     5641.30
  -1.335  -0.639   1.579   2.164     4180.97     2131.72    -2989.12     5564.14
  -1.342  -0.643   1.584   2.174     4127.78     2106.79    -2940.24     5488.36
  -1.350  -0.647   1.589   2.183     4075.49     2082.25    -2892.32     5413.95
  -1.357  -0.650   1.595   2.193     4024.08     2058.10    -2845.35     5340.88
  -1.365  -0.654   1.600   2.203     3973.52     2034.33    -2799.29     5269.10
  -1.373  -0.658   1.605   2.212     3923.81     2010.93    -2754.14     5198.60
  -1.380  -0.662   1.611   2.222     3874.93     1987.90    -2709.87     5129.35
  -1.388  -0.666   1.616   2.232     3826.86     1965.22    -2666.45     5061.31
  -1.395  -0.670   1.621   2.241     3779.57     1942.89    -2623.87     4994.47
  -1.403  -0.674   1.627   2.251     3733.07     1920.91    -2582.12     4928.79
  -1.410  -0.678   1.632   2.261     3687.32     1899.27    -2541.16     4864.26
  -1.418  -0.682   1.637   2.270     3642.32     1877.95    -2500.98     4800.84
  -1.426  -0.685   1.642   2.280     3598.05     1856.96    -2461.57     4738.52
  -1.433  -0.689   1.647   2.290     3554.49     1836.29    -2422.91     4677.27
  -1.441  -0.693   1.653   2.299     3511.63     1815.93    -2384.98     4617.07
  -1.448  -0.697   1.658   2.309     3469.46     1795.88    -2347.76     4557.89
  -1.456  -0.701   1.663   2.319     3427.97     1776.12    -2311.24     4499.71
  -1.464  -0.705   1.668   2.328     3387.13     1756.66    -2275.41     4442.52
  -1.471  -0.709   1.673   2.338     3346.94     1737.49    -2240.24     4386.29
  -1.479  -0.713   1.678   2.348     3307.38     1718.61    -2205.72     4331.00
  -1.487  -0.717   1.683   2.357     3268.45     1700.00    -2171.85     4276.64
  -1.494  -0.721   1.688   2.367     3230.12     1681.66    -2138.60     4223.18
  -1.502  -0.725   1.693   2.377     3192.39     1663.59    -2105.95     4170.61
  -1.509  -0.729   1.698   2.386     3155.25     1645.79    -2073.91     4118.90
  -1.517  -0.733   1.703   2.396     3118.68     1628.24    -2042.45     4068.04
  -1.525  -0.737   1.708   2.406     3082.68     1610.95    -2011.56     4018.02
