# ts_version: 01
# Year: 2015
# Day: 311
# Hour: 0
# Minute: 00
# Second: 00
# SW dynamic pressure: 2.3
# SW velocity: 721.0
# IMF By: -2.6
# IMF Bz: -3.7
# Dst: -62.0
# DIR: 1
# Geographic Geocentric Latitude: 78.222
# Longitude: 15.648
# Xgsm: 1.
# Ygsm: 1.
# Zgsm: 1.
 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.456  -0.215   0.864   1.000    30958.90    12532.63   -43157.12    54571.58
  -0.462  -0.217   0.871   1.010    30212.70    12276.28   -41990.94    53167.22
  -0.468  -0.219   0.879   1.020    29488.35    12024.82   -40860.31    51804.67
  -0.473  -0.222   0.887   1.030    28785.19    11778.34   -39764.28    50482.82
  -0.479  -0.224   0.895   1.040    28102.59    11536.91   -38701.91    49200.54
  -0.485  -0.226   0.903   1.050    27439.92    11300.58   -37672.22    47956.74
  -0.490  -0.229   0.911   1.059    26796.57    11069.36   -36674.27    46750.29
  -0.496  -0.231   0.919   1.069    26171.94    10843.24   -35707.11    45580.08
  -0.502  -0.234   0.926   1.079    25565.44    10622.20   -34769.80    44445.04
  -0.508  -0.236   0.934   1.089    24976.50    10406.20   -33861.41    43344.09
  -0.514  -0.238   0.942   1.099    24404.51    10195.23   -32981.07    42276.16
  -0.519  -0.241   0.950   1.109    23848.97     9989.20   -32127.85    41240.23
  -0.525  -0.243   0.958   1.119    23309.36     9788.03   -31300.89    40235.28
  -0.531  -0.246   0.965   1.129    22785.19     9591.62   -30499.33    39260.33
  -0.537  -0.248   0.973   1.139    22275.95     9399.91   -29722.35    38314.41
  -0.542  -0.251   0.981   1.149    21781.15     9212.80   -28969.14    37396.59
  -0.548  -0.253   0.989   1.159    21300.35     9030.21   -28238.90    36505.96
  -0.554  -0.255   0.996   1.168    20833.08     8852.02   -27530.88    35641.62
  -0.560  -0.258   1.004   1.178    20378.90     8678.16   -26844.35    34802.72
  -0.566  -0.260   1.012   1.188    19937.40     8508.53   -26178.57    33988.42
  -0.572  -0.263   1.020   1.198    19508.16     8343.01   -25532.86    33197.91
  -0.578  -0.265   1.027   1.208    19090.80     8181.53   -24906.54    32430.41
  -0.584  -0.268   1.035   1.218    18684.92     8023.97   -24298.96    31685.17
  -0.589  -0.271   1.043   1.228    18290.15     7870.24   -23709.50    30961.44
  -0.595  -0.273   1.050   1.238    17906.15     7720.25   -23137.54    30258.52
  -0.601  -0.276   1.058   1.248    17532.56     7573.90   -22582.50    29575.73
  -0.607  -0.278   1.065   1.258    17169.06     7431.09   -22043.80    28912.40
  -0.613  -0.281   1.073   1.267    16815.32     7291.74   -21520.90    28267.89
  -0.619  -0.283   1.081   1.277    16471.03     7155.75   -21013.28    27641.59
  -0.625  -0.286   1.088   1.287    16135.89     7023.03   -20520.41    27032.89
  -0.631  -0.289   1.096   1.297    15809.61     6893.50   -20041.81    26441.22
  -0.637  -0.291   1.103   1.307    15491.92     6767.07   -19577.00    25866.03
  -0.643  -0.294   1.111   1.317    15182.54     6643.66   -19125.52    25306.78
  -0.649  -0.296   1.119   1.327    14881.21     6523.18   -18686.94    24762.95
  -0.655  -0.299   1.126   1.337    14587.68     6405.55   -18260.82    24234.05
  -0.661  -0.302   1.134   1.347    14301.72     6290.71   -17846.75    23719.58
  -0.667  -0.304   1.141   1.356    14023.08     6178.56   -17444.34    23219.09
  -0.673  -0.307   1.149   1.366    13751.54     6069.05   -17053.20    22732.13
  -0.679  -0.310   1.156   1.376    13486.89     5962.09   -16672.97    22258.26
  -0.685  -0.312   1.164   1.386    13228.90     5857.61   -16303.28    21797.07
  -0.691  -0.315   1.171   1.396    12977.39     5755.56   -15943.81    21348.16
  -0.697  -0.318   1.179   1.406    12732.14     5655.86   -15594.21    20911.13
  -0.703  -0.320   1.186   1.416    12492.98     5558.44   -15254.17    20485.62
  -0.710  -0.323   1.193   1.426    12259.72     5463.26   -14923.38    20071.25
  -0.716  -0.326   1.201   1.436    12032.19     5370.23   -14601.54    19667.69
  -0.722  -0.329   1.208   1.445    11810.21     5279.32   -14288.38    19274.59
  -0.728  -0.331   1.216   1.455    11593.61     5190.45   -13983.61    18891.64
  -0.734  -0.334   1.223   1.465    11382.25     5103.58   -13686.97    18518.51
  -0.740  -0.337   1.231   1.475    11175.96     5018.65   -13398.20    18154.91
  -0.746  -0.340   1.238   1.485    10974.60     4935.61   -13117.05    17800.54
  -0.753  -0.342   1.245   1.495    10778.03     4854.40   -12843.29    17455.12
  -0.759  -0.345   1.253   1.505    10586.09     4774.99   -12576.69    17118.39
  -0.765  -0.348   1.260   1.515    10398.67     4697.31   -12317.03    16790.07
  -0.771  -0.351   1.267   1.524    10215.64     4621.33   -12064.08    16469.91
  -0.777  -0.354   1.275   1.534    10036.85     4546.99   -11817.65    16157.68
  -0.784  -0.356   1.282   1.544     9862.21     4474.26   -11577.54    15853.13
  -0.790  -0.359   1.289   1.554     9691.58     4403.10   -11343.55    15556.03
  -0.796  -0.362   1.297   1.564     9524.86     4333.45   -11115.49    15266.17
  -0.802  -0.365   1.304   1.574     9361.93     4265.29   -10893.19    14983.33
  -0.809  -0.368   1.311   1.584     9202.69     4198.57   -10676.48    14707.30
  -0.815  -0.371   1.318   1.593     9047.04     4133.26   -10465.18    14437.90
  -0.821  -0.374   1.326   1.603     8894.88     4069.32   -10259.14    14174.91
  -0.827  -0.376   1.333   1.613     8746.11     4006.71   -10058.20    13918.17
  -0.834  -0.379   1.340   1.623     8600.63     3945.40    -9862.21    13667.49
  -0.840  -0.382   1.347   1.633     8458.37     3885.36    -9671.02    13422.69
  -0.846  -0.385   1.354   1.643     8319.23     3826.55    -9484.49    13183.61
  -0.853  -0.388   1.362   1.653     8183.12     3768.94    -9302.49    12950.09
  -0.859  -0.391   1.369   1.663     8049.98     3712.51    -9124.88    12721.96
  -0.865  -0.394   1.376   1.672     7919.71     3657.21    -8951.54    12499.08
  -0.872  -0.397   1.383   1.682     7792.24     3603.04    -8782.35    12281.31
  -0.878  -0.400   1.390   1.692     7667.49     3549.95    -8617.19    12068.49
  -0.884  -0.403   1.397   1.702     7545.40     3497.91    -8455.93    11860.49
  -0.891  -0.406   1.405   1.712     7425.90     3446.92    -8298.48    11657.18
  -0.897  -0.409   1.412   1.722     7308.91     3396.92    -8144.72    11458.43
