# ts_version: 01
# Year: 2015
# Day: 311
# Hour: 0
# Minute: 00
# Second: 00
# SW dynamic pressure: 2.3
# SW velocity: 721.0
# IMF By: -2.6
# IMF Bz: -3.7
# Dst: -62.0
# DIR: 1
# Geographic Geocentric Latitude: 69.65
# Longitude: 18.955
# Xgsm: 1.
# Ygsm: 1.
# Zgsm: 1.
 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.568  -0.269   0.778   1.000    37879.60    15445.81   -33990.88    53186.62
  -0.575  -0.271   0.785   1.010    36987.14    15120.63   -32971.48    51805.41
  -0.582  -0.274   0.791   1.020    36119.21    14802.38   -31985.79    50465.81
  -0.589  -0.277   0.797   1.029    35275.19    14491.08   -31032.77    49166.69
  -0.596  -0.280   0.804   1.039    34454.50    14186.72   -30111.39    47906.90
  -0.603  -0.283   0.810   1.049    33656.53    13889.26   -29220.61    46685.31
  -0.611  -0.286   0.816   1.059    32880.67    13598.66   -28359.44    45500.77
  -0.618  -0.289   0.822   1.069    32126.33    13314.83   -27526.88    44352.17
  -0.625  -0.292   0.829   1.078    31392.91    13037.70   -26721.97    43238.41
  -0.632  -0.295   0.835   1.088    30679.81    12767.17   -25943.75    42158.39
  -0.640  -0.298   0.841   1.098    29986.46    12503.12   -25191.31    41111.04
  -0.647  -0.301   0.847   1.108    29312.28    12245.45   -24463.75    40095.34
  -0.654  -0.304   0.853   1.117    28656.72    11994.04   -23760.20    39110.25
  -0.662  -0.308   0.859   1.127    28019.23    11748.75   -23079.82    38154.79
  -0.669  -0.311   0.865   1.137    27399.25    11509.47   -22421.79    37228.00
  -0.676  -0.314   0.871   1.147    26796.29    11276.06   -21785.31    36328.92
  -0.684  -0.317   0.877   1.156    26209.81    11048.39   -21169.62    35456.65
  -0.691  -0.320   0.883   1.166    25639.32    10826.33   -20573.97    34610.30
  -0.699  -0.323   0.889   1.176    25084.35    10609.74   -19997.66    33789.01
  -0.706  -0.326   0.895   1.186    24544.40    10398.48   -19440.00    32991.96
  -0.713  -0.329   0.901   1.195    24019.04    10192.44   -18900.31    32218.34
  -0.721  -0.333   0.907   1.205    23507.80     9991.47   -18377.95    31467.37
  -0.728  -0.336   0.912   1.215    23010.27     9795.45   -17872.31    30738.29
  -0.736  -0.339   0.918   1.225    22526.01     9604.25   -17382.79    30030.39
  -0.743  -0.342   0.924   1.234    22054.63     9417.74   -16908.82    29342.95
  -0.751  -0.345   0.930   1.244    21595.72     9235.80   -16449.84    28675.29
  -0.759  -0.349   0.936   1.254    21148.92     9058.30   -16005.32    28026.77
  -0.766  -0.352   0.941   1.264    20713.84     8885.14   -15574.74    27396.74
  -0.774  -0.355   0.947   1.273    20290.13     8716.18   -15157.62    26784.60
  -0.781  -0.358   0.953   1.283    19877.45     8551.33   -14753.48    26189.76
  -0.789  -0.362   0.958   1.293    19475.46     8390.46   -14361.85    25611.64
  -0.796  -0.365   0.964   1.302    19083.83     8233.46   -13982.31    25049.70
  -0.804  -0.368   0.969   1.312    18702.25     8080.24   -13614.42    24503.41
  -0.812  -0.371   0.975   1.322    18330.42     7930.69   -13257.78    23972.26
  -0.819  -0.375   0.980   1.331    17968.04     7784.71   -12912.00    23455.75
  -0.827  -0.378   0.986   1.341    17614.83     7642.20   -12576.71    22953.41
  -0.835  -0.381   0.991   1.351    17270.52     7503.06   -12251.53    22464.79
  -0.842  -0.385   0.997   1.361    16934.83     7367.20   -11936.12    21989.43
  -0.850  -0.388   1.002   1.370    16607.52     7234.53   -11630.14    21526.92
  -0.858  -0.391   1.008   1.380    16288.33     7104.97   -11333.27    21076.84
  -0.866  -0.395   1.013   1.390    15977.02     6978.43   -11045.20    20638.80
  -0.873  -0.398   1.018   1.399    15673.36     6854.82   -10765.63    20212.41
  -0.881  -0.402   1.024   1.409    15377.13     6734.07   -10494.28    19797.31
  -0.889  -0.405   1.029   1.419    15088.10     6616.10   -10230.85    19393.14
  -0.897  -0.408   1.034   1.428    14806.07     6500.83    -9975.10    18999.56
  -0.904  -0.412   1.039   1.438    14530.84     6388.19    -9726.75    18616.23
  -0.912  -0.415   1.045   1.448    14262.21     6278.10    -9485.57    18242.84
  -0.920  -0.419   1.050   1.457    13999.98     6170.50    -9251.32    17879.08
  -0.928  -0.422   1.055   1.467    13743.98     6065.32    -9023.76    17524.65
  -0.936  -0.426   1.060   1.477    13494.02     5962.50    -8802.67    17179.26
  -0.944  -0.429   1.065   1.486    13249.93     5861.96    -8587.85    16842.64
  -0.951  -0.433   1.070   1.496    13011.56     5763.66    -8379.09    16514.52
  -0.959  -0.436   1.075   1.506    12778.72     5667.53    -8176.19    16194.65
  -0.967  -0.440   1.080   1.515    12551.28     5573.51    -7978.96    15882.77
  -0.975  -0.443   1.085   1.525    12329.08     5481.54    -7787.21    15578.64
  -0.983  -0.447   1.090   1.535    12111.97     5391.58    -7600.78    15282.04
  -0.991  -0.450   1.095   1.544    11899.81     5303.56    -7419.49    14992.73
  -0.999  -0.454   1.100   1.554    11692.46     5217.45    -7243.17    14710.50
  -1.007  -0.457   1.105   1.563    11489.79     5133.18    -7071.67    14435.15
  -1.015  -0.461   1.110   1.573    11291.68     5050.71    -6904.85    14166.46
  -1.023  -0.464   1.115   1.583    11098.00     4969.99    -6742.53    13904.25
  -1.031  -0.468   1.120   1.592    10908.62     4890.98    -6584.60    13648.32
  -1.039  -0.472   1.125   1.602    10723.44     4813.63    -6430.91    13398.50
  -1.047  -0.475   1.129   1.612    10542.33     4737.91    -6281.33    13154.61
  -1.055  -0.479   1.134   1.621    10365.20     4663.76    -6135.73    12916.47
  -1.063  -0.482   1.139   1.631    10191.93     4591.15    -5993.99    12683.92
  -1.071  -0.486   1.144   1.640    10022.41     4520.04    -5855.99    12456.81
  -1.079  -0.490   1.148   1.650     9856.56     4450.39    -5721.62    12234.98
  -1.087  -0.493   1.153   1.660     9694.28     4382.16    -5590.76    12018.28
  -1.095  -0.497   1.158   1.669     9535.46     4315.32    -5463.31    11806.56
  -1.103  -0.501   1.162   1.679     9380.03     4249.84    -5339.17    11599.69
  -1.111  -0.504   1.167   1.688     9227.88     4185.68    -5218.24    11397.53
  -1.119  -0.508   1.171   1.698     9078.95     4122.80    -5100.42    11199.96
  -1.127  -0.512   1.176   1.708     8933.13     4061.18    -4985.62    11006.84
  -1.136  -0.515   1.180   1.717     8790.37     4000.78    -4873.74    10818.05
  -1.144  -0.519   1.185   1.727     8650.57     3941.58    -4764.71    10633.48
  -1.152  -0.523   1.189   1.736     8513.66     3883.54    -4658.44    10453.00
  -1.160  -0.527   1.194   1.746     8379.56     3826.64    -4554.85    10276.52
  -1.168  -0.530   1.198   1.755     8248.22     3770.84    -4453.86    10103.92
  -1.176  -0.534   1.203   1.765     8119.55     3716.13    -4355.39     9935.10
  -1.185  -0.538   1.207   1.775     7993.49     3662.48    -4259.37     9769.95
  -1.193  -0.541   1.211   1.784     7869.98     3609.86    -4165.74     9608.38
  -1.201  -0.545   1.216   1.794     7748.95     3558.24    -4074.41     9450.30
  -1.209  -0.549   1.220   1.803     7630.34     3507.61    -3985.34     9295.61
