# ts_version: 01
# Year: 2015
# Day: 311
# Hour: 17
# Minute: 00
# Second: 00
# SW dynamic pressure: 2.6
# SW velocity: 700.0
# IMF By: -1.3
# IMF Bz: 3.9
# Dst: -34.0
# DIR: 1
# Geographic Geocentric Latitude: 74.443
# Longitude: 19.016
# Xgsm: 1.
# Ygsm: 1.
# Zgsm: 1.
 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.307   0.248   0.919   1.000    15435.57   -21736.52   -46980.85    54017.90
  -0.310   0.252   0.927   1.010    15082.70   -21283.33   -45702.33    52622.91
  -0.313   0.256   0.936   1.020    14737.88   -20841.47   -44463.52    51269.64
  -0.316   0.260   0.945   1.030    14401.13   -20410.68   -43263.27    49956.97
  -0.319   0.265   0.953   1.039    14072.43   -19990.70   -42100.44    48683.76
  -0.321   0.269   0.962   1.049    13751.74   -19581.26   -40973.91    47448.89
  -0.324   0.273   0.971   1.059    13438.97   -19182.11   -39882.55    46251.24
  -0.327   0.277   0.979   1.069    13134.05   -18792.99   -38825.26    45089.70
  -0.330   0.281   0.988   1.079    12836.86   -18413.64   -37800.97    43963.17
  -0.333   0.285   0.997   1.089    12547.27   -18043.81   -36808.59    42870.57
  -0.336   0.290   1.005   1.099    12265.16   -17683.26   -35847.11    41810.85
  -0.339   0.294   1.014   1.108    11990.37   -17331.73   -34915.50    40782.96
  -0.342   0.298   1.022   1.118    11722.76   -16988.98   -34012.78    39785.89
  -0.345   0.302   1.031   1.128    11462.16   -16654.79   -33137.98    38818.66
  -0.348   0.307   1.039   1.138    11208.43   -16328.91   -32290.17    37880.31
  -0.351   0.311   1.048   1.148    10961.40   -16011.13   -31468.45    36969.88
  -0.354   0.315   1.056   1.158    10720.90   -15701.21   -30671.94    36086.47
  -0.357   0.320   1.065   1.168    10486.77   -15398.95   -29899.78    35229.20
  -0.360   0.324   1.073   1.177    10258.85   -15104.13   -29151.15    34397.21
  -0.363   0.328   1.082   1.187    10036.97   -14816.54   -28425.25    33589.66
  -0.366   0.333   1.090   1.197     9820.98   -14535.98   -27721.30    32805.75
  -0.369   0.337   1.099   1.207     9610.71   -14262.27   -27038.58    32044.70
  -0.372   0.342   1.107   1.217     9406.00   -13995.20   -26376.34    31305.75
  -0.375   0.346   1.116   1.227     9206.70   -13734.59   -25733.90    30588.17
  -0.378   0.351   1.124   1.236     9012.66   -13480.27   -25110.59    29891.26
  -0.381   0.355   1.132   1.246     8823.73   -13232.05   -24505.75    29214.33
  -0.384   0.360   1.141   1.256     8639.76   -12989.76   -23918.76    28556.73
  -0.387   0.364   1.149   1.266     8460.61   -12753.24   -23349.02    27917.81
  -0.390   0.369   1.157   1.276     8286.15   -12522.33   -22795.95    27296.97
  -0.393   0.374   1.166   1.286     8116.23   -12296.88   -22258.98    26693.61
  -0.396   0.378   1.174   1.295     7950.72   -12076.72   -21737.58    26107.15
  -0.399   0.383   1.182   1.305     7789.50   -11861.72   -21231.21    25537.05
  -0.402   0.387   1.191   1.315     7632.43   -11651.72   -20739.39    24982.77
  -0.405   0.392   1.199   1.325     7479.41   -11446.60   -20261.63    24443.80
  -0.408   0.397   1.207   1.335     7330.30   -11246.21   -19797.45    23919.64
  -0.411   0.402   1.216   1.345     7185.00   -11050.43   -19346.41    23409.82
  -0.414   0.406   1.224   1.354     7043.39   -10859.13   -18908.07    22913.86
  -0.417   0.411   1.232   1.364     6905.36   -10672.18   -18482.02    22431.33
  -0.420   0.416   1.240   1.374     6770.81   -10489.47   -18067.86    21961.79
  -0.423   0.421   1.249   1.384     6639.64   -10310.88   -17665.19    21504.84
  -0.427   0.425   1.257   1.394     6511.75   -10136.31   -17273.64    21060.06
  -0.430   0.430   1.265   1.403     6387.03    -9965.63   -16892.85    20627.08
  -0.433   0.435   1.273   1.413     6265.41    -9798.75   -16522.48    20205.52
