# ts_version: 01
# Year: 2015
# Day: 311
# Hour: 17
# Minute: 00
# Second: 00
# SW dynamic pressure: 2.6
# SW velocity: 700.0
# IMF By: -1.3
# IMF Bz: 3.9
# Dst: -34.0
# DIR: 1
# Geographic Geocentric Latitude: 78.222
# Longitude: 15.648
# Xgsm: 1.
# Ygsm: 1.
# Zgsm: 1.
 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.291   0.186   0.938   1.000    14969.41   -17141.62   -49579.61    54553.24
  -0.294   0.189   0.947   1.010    14630.04   -16777.99   -48262.39    53148.82
  -0.297   0.192   0.957   1.020    14298.33   -16423.98   -46985.34    51786.21
  -0.300   0.195   0.966   1.030    13974.30   -16079.35   -45747.34    50464.30
  -0.302   0.199   0.975   1.040    13657.95   -15743.82   -44547.27    49181.98
  -0.305   0.202   0.984   1.050    13349.26   -15417.13   -43384.01    47938.12
  -0.308   0.205   0.993   1.059    13048.15   -15099.04   -42256.46    46731.62
  -0.311   0.208   1.002   1.069    12754.56   -14789.29   -41163.53    45561.37
  -0.313   0.211   1.011   1.079    12468.38   -14487.66   -40104.13    44426.28
  -0.316   0.215   1.020   1.089    12189.49   -14193.89   -39077.22    43325.28
  -0.319   0.218   1.029   1.099    11917.78   -13907.77   -38081.76    42257.31
  -0.322   0.221   1.038   1.109    11653.11   -13629.07   -37116.74    41221.34
  -0.325   0.225   1.047   1.119    11395.33   -13357.57   -36181.18    40216.36
  -0.328   0.228   1.056   1.129    11144.30   -13093.06   -35274.10    39241.38
  -0.330   0.231   1.065   1.139    10899.87   -12835.34   -34394.58    38295.44
  -0.333   0.235   1.074   1.149    10661.88   -12584.20   -33541.71    37377.59
  -0.336   0.238   1.083   1.159    10430.17   -12339.46   -32714.60    36486.93
  -0.339   0.241   1.092   1.168    10204.60   -12100.91   -31912.39    35622.56
  -0.342   0.245   1.101   1.178     9984.99   -11868.38   -31134.26    34783.63
  -0.345   0.248   1.110   1.188     9771.20   -11641.70   -30379.41    33969.31
  -0.348   0.252   1.119   1.198     9563.08   -11420.68   -29647.04    33178.78
  -0.351   0.255   1.128   1.208     9360.45   -11205.16   -28936.41    32411.26
  -0.353   0.259   1.137   1.218     9163.19   -10994.99   -28246.79    31665.99
  -0.356   0.262   1.145   1.228     8971.13   -10789.99   -27577.48    30942.25
  -0.359   0.266   1.154   1.238     8784.13   -10590.03   -26927.80    30239.31
  -0.362   0.269   1.163   1.248     8602.05   -10394.95   -26297.08    29556.50
  -0.365   0.273   1.172   1.258     8424.74   -10204.61   -25684.71    28893.16
  -0.368   0.276   1.181   1.267     8252.08   -10018.88   -25090.05    28248.63
  -0.371   0.280   1.190   1.277     8083.91    -9837.61   -24512.53    27622.32
  -0.374   0.283   1.199   1.287     7920.13    -9660.68   -23951.57    27013.61
  -0.377   0.287   1.208   1.297     7760.58    -9487.97   -23406.63    26421.93
  -0.380   0.290   1.216   1.307     7605.16    -9319.35   -22877.17    25846.73
  -0.383   0.294   1.225   1.317     7453.75    -9154.71   -22362.68    25287.47
  -0.386   0.298   1.234   1.327     7306.21    -8993.93   -21862.67    24743.64
  -0.389   0.301   1.243   1.337     7162.45    -8836.90   -21376.66    24214.73
  -0.391   0.305   1.252   1.347     7022.35    -8683.52   -20904.19    23700.26
  -0.394   0.309   1.261   1.356     6885.79    -8533.68   -20444.83    23199.76
  -0.397   0.312   1.269   1.366     6752.69    -8387.28   -19998.15    22712.80
  -0.400   0.316   1.278   1.376     6622.93    -8244.23   -19563.73    22238.93
  -0.403   0.320   1.287   1.386     6496.42    -8104.43   -19141.18    21777.74
  -0.406   0.323   1.296   1.396     6373.06    -7967.80   -18730.11    21328.82
  -0.409   0.327   1.305   1.406     6252.75    -7834.24   -18330.17    20891.80
  -0.412   0.331   1.313   1.416     6135.43    -7703.67   -17940.98    20466.28
  -0.415   0.335   1.322   1.426     6020.98    -7576.01   -17562.22    20051.92
  -0.418   0.339   1.331   1.436     5909.33    -7451.18   -17193.55    19648.36
  -0.421   0.342   1.340   1.445     5800.41    -7329.09   -16834.64    19255.27
  -0.424   0.346   1.348   1.455     5694.12    -7209.69   -16485.20    18872.32
  -0.427   0.350   1.357   1.465     5590.39    -7092.89   -16144.93    18499.20
  -0.430   0.354   1.366   1.475     5489.16    -6978.62   -15813.54    18135.61
  -0.433   0.358   1.375   1.485     5390.34    -6866.82   -15490.76    17781.24
  -0.436   0.362   1.383   1.495     5293.87    -6757.43   -15176.31    17435.84
  -0.440   0.365   1.392   1.505     5199.68    -6650.37   -14869.95    17099.11
  -0.443   0.369   1.401   1.515     5107.71    -6545.58   -14571.42    16770.80
  -0.446   0.373   1.409   1.524     5017.90    -6443.01   -14280.49    16450.66
