# ts_version: 01
# Year: 2015
# Day: 311
# Hour: 17
# Minute: 00
# Second: 00
# SW dynamic pressure: 2.6
# SW velocity: 700.0
# IMF By: -1.3
# IMF Bz: 3.9
# Dst: -34.0
# DIR: 1
# Geographic Geocentric Latitude: 69.65
# Longitude: 18.955
# Xgsm: 1.
# Ygsm: 1.
# Zgsm: 1.
 XGSM    YGSM   ZGSM    R    BXGSM   BYGSM   BZGSM   B
 [Re]    [Re]   [Re]   [Re]  [nT]    [nT]   [nT]   [nT]
  -0.310   0.328   0.892   1.000    14994.50   -27148.53   -43193.34    53174.64
  -0.313   0.333   0.901   1.010    14637.45   -26588.43   -41968.47    51793.36
  -0.316   0.338   0.909   1.020    14289.34   -26041.42   -40782.78    50453.70
  -0.319   0.343   0.917   1.029    13950.08   -25507.30   -39635.08    49154.52
  -0.321   0.348   0.925   1.039    13619.56   -24985.86   -38524.20    47894.67
  -0.324   0.354   0.933   1.049    13297.67   -24476.86   -37448.98    46673.02
  -0.327   0.359   0.941   1.059    12984.27   -23980.06   -36408.27    45488.42
  -0.330   0.364   0.949   1.069    12679.20   -23495.22   -35400.96    44339.77
  -0.333   0.369   0.957   1.078    12382.29   -23022.09   -34425.93    43225.95
  -0.336   0.375   0.965   1.088    12093.38   -22560.40   -33482.12    42145.87
  -0.339   0.380   0.973   1.098    11812.29   -22109.90   -32568.49    41098.47
  -0.342   0.385   0.981   1.108    11538.84   -21670.34   -31683.99    40082.71
  -0.344   0.391   0.988   1.117    11272.84   -21241.44   -30827.65    39097.57
  -0.347   0.396   0.996   1.127    11014.10   -20822.96   -29998.50    38142.05
  -0.350   0.402   1.004   1.137    10762.43   -20414.64   -29195.61    37215.20
  -0.353   0.407   1.012   1.147    10517.66   -20016.23   -28418.06    36316.07
  -0.356   0.413   1.020   1.156    10279.59   -19627.46   -27664.99    35443.74
  -0.359   0.418   1.028   1.166    10048.04   -19248.11   -26935.53    34597.34
  -0.362   0.424   1.035   1.176     9822.82   -18877.92   -26228.88    33776.00
  -0.365   0.430   1.043   1.186     9603.77   -18516.66   -25544.25    32978.90
  -0.368   0.435   1.051   1.195     9390.69   -18164.09   -24880.85    32205.22
  -0.371   0.441   1.059   1.205     9183.42   -17819.99   -24237.97    31454.20
  -0.373   0.447   1.066   1.215     8981.80   -17484.12   -23614.88    30725.07
  -0.376   0.452   1.074   1.225     8785.65   -17156.28   -23010.90    30017.11
  -0.379   0.458   1.082   1.234     8594.81   -16836.24   -22425.37    29329.62
  -0.382   0.464   1.089   1.244     8409.12   -16523.80   -21857.64    28661.92
  -0.385   0.469   1.097   1.254     8228.44   -16218.75   -21307.10    28013.34
  -0.388   0.475   1.105   1.264     8052.60   -15920.89   -20773.16    27383.27
  -0.391   0.481   1.112   1.273     7881.47   -15630.04   -20255.25    26771.08
  -0.394   0.487   1.120   1.283     7714.91   -15345.99   -19752.81    26176.19
  -0.397   0.493   1.127   1.293     7552.77   -15068.57   -19265.33    25598.03
  -0.400   0.499   1.135   1.302     7394.93   -14797.60   -18792.27    25036.04
  -0.403   0.505   1.142   1.312     7241.25   -14532.91   -18333.16    24489.71
  -0.406   0.511   1.150   1.322     7091.60   -14274.32   -17887.53    23958.52
  -0.409   0.517   1.157   1.332     6945.87   -14021.67   -17454.90    23441.97
  -0.412   0.523   1.165   1.341     6803.94   -13774.80   -17034.85    22939.59
  -0.415   0.529   1.172   1.351     6665.70   -13533.55   -16626.96    22450.93
  -0.418   0.535   1.179   1.361     6531.02   -13297.78   -16230.80    21975.53
  -0.421   0.541   1.187   1.370     6399.81   -13067.33   -15846.00    21512.99
  -0.424   0.547   1.194   1.380     6271.96   -12842.07   -15472.18    21062.87
  -0.427   0.553   1.201   1.390     6147.37   -12621.86   -15108.96    20624.80
  -0.430   0.559   1.209   1.399     6025.94   -12406.55   -14756.01    20198.37
  -0.433   0.565   1.216   1.409     5907.58   -12196.03   -14412.98    19783.24
  -0.436   0.571   1.223   1.419     5792.19   -11990.16   -14079.54    19379.04
