yyyy/mmdd(or -ddd)/hh.h):2022/-329/18.5UT  geog Lat/Long/Alt= 78.2/  15.6/ 300.0

NeQuick is used for topside Ne profile
URSI maps are used for the F2 peak density (NmF2)
foF2 STORM model is turned on 
Shubin2015model is used for F2 peak height (hmF2)
ABT-2009 option is used for the bottomside thickness parameter B0
Scotto-97 no L   option is used for the F1 occurrence probability
foE auroral storm model is turned off
IRI-1990   option is used for D-region
TBT-2012 with solar dependence is used for the electron temperature
RBV10+TBT15 option is used for ion composition
CGM coordinates not computed
auroral boundaries not computed

Peak Densities/cm-3: NmF2= 178471.6   NmF1=      0.0   NmE=   3029.3
Peak Heights/km:     hmF2=   279.14   hmF1=     0.00   hmE=   110.00

Solar Zenith Angle/degree                             115.8
Dip (Magnetic Inclination)/degree                      82.55
Modip (Modified Dip)/degree                            72.59
Solar Sunspot Number (12-months running mean) Rz12     73.3           
Ionospheric-Effective Solar Index IG12                 84.3           
Solar radio flux F10.7 (daily)                        105.7           
Solar radio flux F10.7 (81-day average)               130.3           

TEC [1.E16 m-2] is obtained by numerical integration in 1km steps
  from 50 to 2000.0 km. t is the percentage of TEC above the F peak.

-
   H   ELECTRON DENSITY   TEMPERATURES      ION PERCENTAGES[%]*10    1E16m-2
   km  Ne/cm-3 Ne/NmF2 Tn/K  Ti/K  Te/K  O+  N+  H+ He+ O2+ NO+ Clust TEC t/%
 100.0    2847  0.016   183   183   183   0   0   0   0  37 963  -1   4.9  78
 110.0    3029  0.017   251   251   251   0   0   0   0  49 951  -1   4.9  78
 120.0    1619  0.009   370   370   370   0   0   0   0  30 970  -1   4.9  78
 130.0     732  0.004   510   510   510   0   0   0   0  15 985  -1   4.9  78
 140.0     601  0.003   623   623   623   0   0   0   0  15 985  -1   4.9  78
 150.0     864  0.005   712   712   728   1   0   0   0  25 973  -1   4.9  78
 160.0    1481  0.008   781   781   802   4   0   0   0  39 957  -1   4.9  78
 170.0   23759  0.133   834   834   851  83   0   0   0 303 612  -1   4.9  78
 180.0   31435  0.176   876   876   894 163   0   0   0 312 523  -1   4.9  78
 190.0   41034  0.230   908   908   936 283   0   0   0 294 419  -1   4.9  78
 200.0   52774  0.296   934   934   978 435   1   0   0 248 313  -1   4.9  78
 210.0   66765  0.374   953   958  1020 592   1   0   0 187 217  -1   4.9  78
 220.0   82938  0.465   969   983  1061 726   1   0   0 128 142  -1   4.9  78
 230.0  100963  0.566   981  1007  1103 823   1   0   0  82  91  -1   4.9  78
 240.0  120166  0.673   990  1032  1145 885   1   0   0  52  60  -1   4.9  78
 250.0  139460  0.781   998  1056  1187 925   1   0   0  32  40  -1   4.9  78
 260.0  157298  0.881  1004  1081  1229 950   1   0   0  20  27  -1   4.9  78
 270.0  171573  0.961  1008  1105  1270 966   1   0   0  13  19  -1   4.9  78
 280.0  178464  1.000  1012  1130  1312 975   1   0   0   9  14  -1   4.9  78
 290.0  177251  0.993  1014  1155  1354 981   1   0   0   6  11  -1   4.9  78
 300.0  174187  0.976  1017  1179  1396 975  23   1   1   0   0  -1   4.9  78
 310.0  169595  0.950  1018  1204  1438 973  24   1   1   0   0  -1   4.9  78
